c1	KS.9.1.lemma200.000	KS.9.1.lemma200.001	KS.9.1.lemma200.002	KS.9.1.lemma200.003	KS.9.11.lemma200.000	KS.9.11.lemma200.001	KS.9.11.lemma200.002	KS.9.11.lemma200.003	KS.9.11.lemma200.004	KS.9.11.lemma200.005	KS.9.11.lemma200.006	KS.9.11.lemma200.007
MS.1.7.lemma200.000	0.9983707	0.9552696	0.9679193	0.9673763	0.9751701	0.92215353	0.95472455	0.9675798	0.962578	0.9741366	0.91300654	0.96526104
MS.1.7.lemma200.001	0.92540246	0.9942074	0.9577341	0.963939	0.93656695	0.8799266	0.9154529	0.9476912	0.926222	0.9558003	0.92952704	0.94354343
MS.1.7.lemma200.002	0.9687306	0.98579377	0.97616947	0.9810817	0.9682394	0.9056381	0.94323736	0.9741334	0.95691407	0.97484803	0.9383701	0.964377
MS.1.7.lemma200.003	0.9705858	0.95490986	0.98018324	0.9781797	0.9719843	0.91675913	0.96087414	0.96671563	0.95101315	0.96866643	0.9131915	0.9722125
