c1	KS.9.1.lemma20.000	KS.9.1.lemma20.001	KS.9.1.lemma20.002	KS.9.1.lemma20.003	KS.9.1.lemma20.004	KS.9.1.lemma20.005	KS.9.1.lemma20.006	KS.9.1.lemma20.007	KS.9.1.lemma20.008	KS.9.1.lemma20.009	KS.9.1.lemma20.010	KS.9.1.lemma20.011	KS.9.1.lemma20.012	KS.9.1.lemma20.013	KS.9.1.lemma20.014	KS.9.1.lemma20.015	KS.9.1.lemma20.016	KS.9.1.lemma20.017	KS.9.1.lemma20.018	KS.9.1.lemma20.019	KS.9.1.lemma20.020	KS.9.1.lemma20.021	KS.9.1.lemma20.022	KS.9.1.lemma20.023	KS.9.1.lemma20.024	KS.9.1.lemma20.025	KS.9.1.lemma20.026	KS.9.1.lemma20.027	KS.9.1.lemma20.028	KS.9.1.lemma20.029	KS.9.1.lemma20.030	KS.9.1.lemma20.031
MS.1.7.lemma20.011	0.851959	0.802462	0.80951786	0.81592983	0.80283034	0.82523304	0.82230103	0.8368433	0.99327904	0.9150351	0.9772168	0.87683755	0.86448854	0.83950293	0.8441597	0.8126217	0.85297	0.85230696	0.83477056	0.84777486	0.84759474	0.82126456	0.8685921	0.79965895	0.8889362	0.85972756	0.9683393	0.91278255	0.8280096	0.83914554	0.7572807	0.82969695
MS.1.7.lemma20.012	0.85009855	0.84654176	0.7941073	0.75659615	0.7981497	0.81199366	0.7950225	0.82823795	0.90730846	0.960025	0.88169765	0.90806085	0.8327243	0.8789566	0.92154956	0.772945	0.78990257	0.895819	0.8682906	0.8709664	0.85662776	0.7816554	0.9064849	0.81974924	0.8728382	0.8886885	0.90353626	0.85881305	0.84457546	0.8556208	0.7336052	0.8055538
MS.1.7.lemma20.013	0.8161308	0.7506809	0.75669295	0.70247066	0.74102175	0.73960364	0.7381635	0.7690288	0.9168476	0.98868227	0.88387686	0.85705423	0.7980832	0.8279487	0.8621924	0.73341674	0.7444036	0.8245392	0.8223545	0.81566954	0.81757647	0.73184377	0.8909939	0.7805445	0.8306291	0.85628664	0.8966452	0.83404434	0.8088742	0.82159925	0.68375456	0.7602619
MS.1.7.lemma20.014	0.8573255	0.80735636	0.80840164	0.8286711	0.813669	0.8388283	0.82886535	0.8578765	0.9806708	0.9011125	0.9961589	0.8907362	0.8805461	0.85133964	0.8639198	0.8124338	0.86305565	0.87782395	0.85080755	0.86480385	0.8382278	0.83183765	0.8637714	0.7931977	0.9058655	0.86288464	0.9665858	0.9232117	0.8320269	0.85249466	0.77590007	0.8487781
MS.1.7.lemma20.015	0.9117263	0.89563686	0.89070576	0.85947293	0.89877164	0.9115606	0.8900142	0.89004904	0.8576045	0.8481068	0.87123936	0.9626819	0.8596508	0.8890879	0.89346236	0.8910351	0.8977415	0.89522815	0.89626336	0.9127066	0.8811257	0.8716178	0.8882351	0.85397357	0.87232995	0.85055584	0.8998509	0.87468123	0.8954915	0.8820911	0.8309963	0.8864798
MS.1.7.lemma20.016	0.870634	0.845198	0.83861023	0.82574844	0.830096	0.8440704	0.84420305	0.86147386	0.91096425	0.8933627	0.9144211	0.9412776	0.93266106	0.88425905	0.9011594	0.8267396	0.8728476	0.9142356	0.8808442	0.9057183	0.84997815	0.83292574	0.8781183	0.7870265	0.89376396	0.8882026	0.9384813	0.92427033	0.8601934	0.86366326	0.77526003	0.8467941
MS.1.7.lemma20.017	0.9056279	0.88542473	0.8557025	0.8385305	0.86854005	0.88400114	0.87056	0.88531995	0.8799619	0.86777985	0.8753803	0.9190974	0.95023924	0.9761243	0.9101583	0.86452496	0.90510017	0.94873136	0.8985286	0.91022336	0.86617494	0.8647052	0.8779984	0.85175323	0.9329306	0.8723778	0.88859284	0.8773446	0.87431437	0.86961913	0.7982842	0.8825947
MS.1.7.lemma20.018	0.86943686	0.85889584	0.8009666	0.7719482	0.80615306	0.81363964	0.79951423	0.8438171	0.85576063	0.8792695	0.8548859	0.89434385	0.8622795	0.8945835	0.9873625	0.8101647	0.8171087	0.92486304	0.93300575	0.9141094	0.8102468	0.79512507	0.8530215	0.7870366	0.871439	0.9042821	0.87544155	0.864054	0.8208393	0.8161093	0.76167005	0.8197249
MS.1.7.lemma20.019	0.8844345	0.8556291	0.8756651	0.8440958	0.9004121	0.90605706	0.87632805	0.8702786	0.80240124	0.7422921	0.81180173	0.8514633	0.85245174	0.8557763	0.78960335	0.97790056	0.96073174	0.84471834	0.8239234	0.8390949	0.8330323	0.8883817	0.8068939	0.81150603	0.8255953	0.788927	0.82607675	0.79656017	0.8595157	0.81905514	0.8644393	0.90199256
MS.1.7.lemma20.020	0.9029925	0.8902055	0.90432924	0.8622494	0.9104101	0.9155228	0.9085379	0.89502585	0.8603068	0.8102964	0.8503476	0.9131938	0.8779502	0.88899976	0.83245075	0.91512656	0.9716048	0.88570046	0.83505076	0.8872315	0.87389517	0.8885029	0.8649636	0.8172635	0.88101405	0.81494915	0.88378936	0.85688335	0.9066354	0.8894398	0.80554664	0.89276975
MS.1.7.lemma20.021	0.8847108	0.88436365	0.8333784	0.82930005	0.85641664	0.8714879	0.8532443	0.88403636	0.868402	0.8624585	0.8695027	0.90991414	0.932583	0.90836436	0.9444383	0.8476283	0.8741442	0.98984843	0.93058825	0.9372333	0.8399771	0.8339616	0.8600828	0.80535865	0.92142886	0.88692063	0.879851	0.8620372	0.86876863	0.8664323	0.8149919	0.8816382
MS.1.7.lemma20.022	0.8772815	0.8633648	0.8054528	0.82697296	0.8393452	0.8495548	0.8283961	0.8494745	0.82417893	0.84744567	0.8319512	0.9000284	0.8499602	0.8732368	0.9505667	0.8184433	0.8267925	0.9115016	0.98984486	0.9536719	0.8298775	0.7994886	0.8574241	0.8228813	0.85854924	0.8989854	0.85943484	0.84420705	0.8519437	0.8401596	0.8166284	0.86067057
MS.1.7.lemma20.023	0.85388887	0.84396553	0.82523805	0.83182013	0.8578379	0.86240643	0.88393545	0.8686951	0.82103056	0.81391174	0.8201884	0.90683967	0.84110177	0.86033565	0.8933756	0.80720115	0.85774016	0.890974	0.9123154	0.985899	0.8371432	0.80092037	0.8679015	0.8088852	0.86797464	0.8474118	0.85957295	0.856648	0.8836064	0.87951887	0.8142589	0.8676316
MS.1.7.lemma20.024	0.8949923	0.87009627	0.84602076	0.8168619	0.853667	0.88500017	0.874206	0.89759094	0.90235853	0.8634238	0.8987883	0.90575576	0.91152126	0.9017884	0.88030654	0.8392152	0.88692296	0.9308165	0.8784082	0.9000617	0.8727372	0.86736304	0.8678094	0.8297609	0.99701166	0.88058347	0.92026544	0.90846735	0.86763865	0.880908	0.79375625	0.8894699
MS.1.7.lemma20.025	0.82798564	0.8179794	0.7516523	0.7833827	0.77845603	0.81449836	0.79306024	0.82504886	0.8485168	0.8225874	0.8377808	0.84580815	0.8161071	0.8534129	0.8901877	0.77183026	0.8010377	0.8783992	0.90132135	0.87159497	0.80175346	0.7449245	0.7862831	0.74062467	0.86978453	0.9706446	0.8446688	0.8534176	0.78825796	0.8283336	0.78328234	0.8189346
MS.1.7.lemma20.026	0.8895778	0.8474476	0.83908737	0.80574274	0.8218716	0.8490165	0.84481597	0.8584653	0.92120445	0.91693544	0.91382855	0.9094077	0.8430802	0.8636416	0.8683384	0.8063707	0.8424058	0.8547316	0.86108685	0.8824816	0.85124946	0.844307	0.8798097	0.80881953	0.88711876	0.8679942	0.9773203	0.92520624	0.86482483	0.86654466	0.75817657	0.8411789
MS.1.7.lemma20.027	0.87508583	0.84528565	0.8543144	0.8611453	0.8257625	0.87906575	0.8950566	0.8912019	0.9158063	0.8546285	0.9195385	0.9173623	0.8719689	0.87880504	0.8725395	0.8228093	0.8830702	0.8849662	0.8813296	0.9009958	0.837016	0.8556195	0.85773057	0.8201382	0.9168069	0.8854613	0.9416468	0.98725533	0.8483546	0.865579	0.7880766	0.86984664
MS.1.7.lemma20.028	0.9114975	0.8600898	0.8774057	0.8022732	0.91186434	0.89813673	0.8754049	0.873529	0.873074	0.86196387	0.85200405	0.93650186	0.83717287	0.88578296	0.849462	0.84433365	0.8726566	0.8698466	0.86187094	0.8918329	0.98801374	0.8432738	0.93443966	0.88723177	0.88726795	0.8586881	0.8925309	0.8432387	0.905392	0.8971474	0.8109764	0.88667274
MS.1.7.lemma20.029	0.91496646	0.86572117	0.87608814	0.83108497	0.915559	0.9224133	0.9148753	0.9217924	0.89683306	0.8818011	0.88440144	0.93515396	0.8821058	0.8954951	0.878588	0.8535324	0.8851881	0.9002916	0.87043977	0.90304923	0.9062369	0.9048658	0.9502882	0.89036393	0.89893013	0.8420835	0.9109241	0.8760292	0.9331061	0.9150044	0.82577455	0.9218114
MS.1.7.lemma20.030	0.8800892	0.8127192	0.8426603	0.776065	0.846288	0.8406179	0.8503757	0.8290007	0.8604128	0.90347105	0.8327536	0.9291498	0.81135374	0.8784687	0.83992726	0.7995931	0.82968986	0.8405807	0.8498237	0.87981296	0.90632534	0.81414956	0.9552504	0.8996754	0.83650887	0.8305943	0.8751881	0.82709277	0.883168	0.8701912	0.7411575	0.8268142
MS.1.7.lemma20.031	0.8686399	0.8051039	0.8322929	0.7673118	0.82534605	0.8412211	0.8660193	0.8173209	0.79554814	0.8098961	0.78146076	0.8803115	0.7591028	0.87864536	0.79263276	0.8038916	0.816587	0.8114456	0.82961434	0.8357559	0.88909054	0.7957438	0.9297981	0.9933783	0.817183	0.7789624	0.80754435	0.801096	0.8371037	0.8346187	0.73450315	0.82078123
MS.1.7.lemma20.032	0.8828803	0.84414643	0.8727218	0.814944	0.9220331	0.90238374	0.90205127	0.8957452	0.85096234	0.8272339	0.83562887	0.89439833	0.85388875	0.8593288	0.8201629	0.8520398	0.8901819	0.8702391	0.84593326	0.89485043	0.89561224	0.8685774	0.89158165	0.83785266	0.8789039	0.81113136	0.87055427	0.81682575	0.9745264	0.9596709	0.8552127	0.94039017
MS.1.7.lemma20.033	0.9089521	0.8776753	0.87512136	0.8121424	0.9024167	0.90801096	0.90963846	0.8954571	0.8447647	0.86288565	0.83537847	0.93056023	0.82212645	0.885375	0.83865154	0.8434305	0.8764786	0.8649775	0.8416484	0.8923926	0.8994415	0.86046445	0.90737844	0.83967537	0.8644961	0.83282214	0.8908996	0.8480782	0.9505925	0.9751097	0.8091189	0.8958876
MS.1.7.lemma20.034	0.8076212	0.78414506	0.72331154	0.78472686	0.8268549	0.8355949	0.811148	0.7995823	0.7396682	0.69407797	0.75524974	0.78677297	0.7554611	0.77055925	0.7637771	0.8318307	0.8273383	0.80635494	0.8080075	0.81766146	0.7672444	0.76239616	0.74761516	0.70615005	0.77426875	0.784395	0.7701328	0.7401046	0.81845117	0.8035614	0.9961127	0.8773575
MS.1.7.lemma20.035	0.8840648	0.8405966	0.84666663	0.81579137	0.91213804	0.9233706	0.9018632	0.9121342	0.81216544	0.7754222	0.80986696	0.8595862	0.82916707	0.8368955	0.79943776	0.8685968	0.885438	0.8597994	0.8367576	0.86160094	0.88798934	0.89011043	0.8492687	0.8144444	0.86111015	0.80850106	0.83766747	0.798626	0.9109486	0.8970762	0.89976156	0.9815363
MS.1.7.lemma20.036	0.91871387	0.8839827	0.88256353	0.8243263	0.90829504	0.91571975	0.91948736	0.9294849	0.85607535	0.84529364	0.8449313	0.91395175	0.8545547	0.90121967	0.86868995	0.8703678	0.9075451	0.8924541	0.8835317	0.90676	0.88068026	0.8942725	0.8815905	0.83921087	0.88168555	0.85123426	0.88470507	0.85892403	0.93048364	0.9424459	0.83722097	0.94093025
