	lemma20	lemma100	lemma200
MS.1.1.-MS.1.6.	0.8128272	0.898764	0.9252705
MS.1.6.-MS.1.7.	0.8563556	0.9337025	0.95902896
MS.1.6.-KS.8.	0.86333054	0.9413751	0.96378034
MS.1.7.-KS.9.1.	0.8604077	0.9404773	0.9710011
MS.1.9.-KS.9.11.	0.8442749	0.93335134	0.95852214
