c1	KS.9.1.lemma100.000	KS.9.1.lemma100.001	KS.9.1.lemma100.002	KS.9.1.lemma100.003	KS.9.1.lemma100.004	KS.9.1.lemma100.005	KS.9.1.lemma100.006	KS.9.1.lemma100.007	KS.9.11.lemma100.000	KS.9.11.lemma100.001	KS.9.11.lemma100.002	KS.9.11.lemma100.003	KS.9.11.lemma100.004	KS.9.11.lemma100.005	KS.9.11.lemma100.006	KS.9.11.lemma100.007	KS.9.11.lemma100.008	KS.9.11.lemma100.009	KS.9.11.lemma100.010	KS.9.11.lemma100.011	KS.9.11.lemma100.012	KS.9.11.lemma100.013	KS.9.11.lemma100.014	KS.9.11.lemma100.015	KS.9.11.lemma100.016	KS.9.11.lemma100.017	KS.9.11.lemma100.018	KS.9.11.lemma100.019
MS.1.7.lemma100.000	0.99720305	0.9541696	0.9221817	0.9620464	0.9491997	0.9366502	0.92956156	0.94084334	0.9530795	0.95453537	0.92225987	0.91023505	0.91114724	0.952082	0.905232	0.96510893	0.9279164	0.94533193	0.92127264	0.9232971	0.92616224	0.9364526	0.96011263	0.94828457	0.9075152	0.9037652	0.94461274	0.95205706
MS.1.7.lemma100.001	0.95848835	0.99751943	0.89380413	0.9489932	0.9355841	0.9428526	0.90562546	0.96532756	0.956697	0.95775574	0.9136497	0.90957266	0.9052173	0.95611036	0.90542096	0.9580887	0.9446524	0.95431286	0.9513052	0.95394355	0.9087098	0.9347064	0.95733756	0.95563334	0.90609753	0.89757943	0.9435067	0.9448433
MS.1.7.lemma100.002	0.9134727	0.88812995	0.9970879	0.93961847	0.93608737	0.9122124	0.9739843	0.8938267	0.9064986	0.90747595	0.8654989	0.8584152	0.861463	0.9032958	0.8969603	0.94535637	0.88553256	0.9117696	0.88999707	0.8926209	0.9381126	0.9101822	0.90933967	0.9357781	0.9003569	0.9095324	0.9185328	0.92498845
MS.1.7.lemma100.003	0.9286663	0.8991822	0.93373096	0.9752939	0.96184576	0.90638494	0.93859786	0.8928079	0.91778874	0.9243509	0.8769171	0.8758255	0.8677904	0.91359174	0.9204149	0.93956465	0.88933265	0.93456316	0.9121214	0.9140059	0.9362936	0.916931	0.9321991	0.9361094	0.925627	0.92042947	0.92514944	0.91521364
MS.1.7.lemma100.004	0.9677262	0.9566029	0.92112523	0.9910634	0.96708626	0.9290172	0.92929024	0.94670784	0.9508853	0.95471674	0.9094737	0.8995776	0.8891865	0.94771826	0.931401	0.96591496	0.91330606	0.9424908	0.93771213	0.9480571	0.9172207	0.9354628	0.956471	0.95686495	0.92937714	0.9198622	0.9494231	0.94620323
MS.1.7.lemma100.005	0.9410749	0.92708147	0.96303606	0.95383227	0.96697795	0.91686946	0.98882437	0.9240453	0.93295515	0.94293445	0.89133465	0.8888745	0.89165974	0.9257705	0.9201364	0.961038	0.9202112	0.9441877	0.9240739	0.921075	0.94212186	0.92702097	0.9366574	0.94793755	0.924588	0.9276308	0.9446322	0.9368634
MS.1.7.lemma100.006	0.93053454	0.93264383	0.92972946	0.9237174	0.9406609	0.98177135	0.90997726	0.9206378	0.92904615	0.9454424	0.90423	0.89459467	0.91359496	0.92986697	0.88497394	0.95667934	0.9371847	0.9395572	0.8980047	0.8919705	0.92582107	0.9055464	0.9254931	0.93086445	0.88399	0.88473135	0.9287515	0.9284228
MS.1.7.lemma100.007	0.9377258	0.9648611	0.8991892	0.93591535	0.93665946	0.92503434	0.90342104	0.99672645	0.9464692	0.9621453	0.9033193	0.893582	0.91414475	0.95821786	0.9042048	0.9612244	0.9245512	0.9461754	0.9382496	0.9371626	0.91329813	0.9123256	0.95591617	0.9511283	0.9147355	0.9038852	0.9712705	0.95347035
