c1	MS.1.7.lemma100.000	MS.1.7.lemma100.001	MS.1.7.lemma100.002	MS.1.7.lemma100.003	MS.1.7.lemma100.004	MS.1.7.lemma100.005	MS.1.7.lemma100.006	MS.1.7.lemma100.007
MS.1.1.lemma100.000	0.9785362	0.97214484	0.9821484	0.95223093	0.97920775	0.9780319	0.96274894	0.9774473
MS.1.1.lemma100.001	0.97562253	0.9742806	0.97291154	0.9551358	0.97342527	0.97124577	0.9614396	0.974606
MS.1.1.lemma100.002	0.97086006	0.9660339	0.96751636	0.95625585	0.9688268	0.96743065	0.95667464	0.9660882
MS.1.1.lemma100.003	0.9763983	0.9714137	0.97781575	0.9558113	0.9779355	0.97631574	0.9644679	0.9750089
MS.1.1.lemma100.004	0.97656727	0.97187316	0.9752904	0.9527087	0.9769955	0.9748136	0.96104944	0.9723361
MS.1.1.lemma100.005	0.97636116	0.9700437	0.969544	0.9574185	0.97113764	0.9683715	0.9574486	0.97132874
MS.1.1.lemma100.006	0.97543365	0.9599974	0.9710795	0.9486065	0.97374034	0.97037435	0.9551184	0.9744705
MS.1.1.lemma100.007	0.9749913	0.97523475	0.9753727	0.9597528	0.97351587	0.9739101	0.96449685	0.9717531
MS.1.1.lemma100.008	0.97121954	0.96988195	0.9722513	0.9545469	0.97030574	0.97016776	0.9593441	0.97315276
MS.1.1.lemma100.009	0.9808181	0.96916837	0.97529906	0.9574046	0.9735769	0.9753938	0.9571429	0.97810775
MS.1.1.lemma100.010	0.9765943	0.9708345	0.9769136	0.957191	0.9803666	0.9763965	0.9635478	0.9725567
MS.1.1.lemma100.011	0.97737473	0.9707817	0.97936136	0.9571634	0.9819504	0.97662294	0.9694674	0.9770138
MS.1.1.lemma100.012	0.96912223	0.97090966	0.9683068	0.9594246	0.97155327	0.9694474	0.9601315	0.9686019
MS.1.1.lemma100.013	0.980967	0.9728641	0.9801706	0.959014	0.9798224	0.9782661	0.96411437	0.9797668
MS.1.1.lemma100.014	0.96605885	0.9610438	0.96478105	0.9497527	0.96279496	0.96002513	0.9576083	0.9658762
