	lemma20	lemma100
MS.1.1-MS.1.6	0.77733845	0.87505066
MS.1.1-MS.1.7	0.7602024	0.8554531
MS.1.6-KS.8	0.8401705	0.9319541
MS.1.7-KS.9.1	0.85023606	0.94183
