	MS.1.1-MS.1.6	MS.1.6-MS.1.7	MS.1.6-KS.8	MS.1.7-KS.9.1
MS.1.1-MS.1.6		-2.769557401052546	-1.5693371006615382	-5.77908953795023
MS.1.6-MS.1.7			1.3960152126180376	-3.874992434367046
MS.1.6-KS.8				-4.147751102736219
MS.1.7-KS.9.1				
