	MS.1.1-MS.1.6	MS.1.6-MS.1.7	MS.1.6-KS.8	MS.1.7-KS.9.1	MS.1.9-KS.9.11
MS.1.1-MS.1.6		1.5189328163592215e-05	0.038098794800807446	0.013656611924221955	0.014127753022898403
MS.1.6-MS.1.7			0.0016868403129606654	0.4855629702493639	0.18966948987901022
MS.1.6-KS.8				0.11668535893022544	0.2019339014925693
MS.1.7-KS.9.1					0.7382839642002303
MS.1.9-KS.9.11					
