	MS.1.1-MS.1.6	MS.1.6-MS.1.7	MS.1.6-KS.8	MS.1.7-KS.9.1
MS.1.1-MS.1.6		0.005718519134906068	0.11670578045692345	1.131385475917757e-08
MS.1.6-MS.1.7			0.16286339229981997	0.00012466360529251027
MS.1.6-KS.8				3.5202420515599257e-05
MS.1.7-KS.9.1				
