	MS.1.1-MS.1.6	MS.1.6-MS.1.7	MS.1.6-KS.8	MS.1.7-KS.9.1	MS.1.9-KS.9.11
MS.1.1-MS.1.6		0.004511038673951414	0.09610064995024367	0.22143312366170592	0.04525241078470428
MS.1.6-MS.1.7			0.16351004908615732	0.32764152371281685	0.43219770633267873
MS.1.6-KS.8				0.9401130988056758	0.5798639011970995
MS.1.7-KS.9.1					0.7250359457891331
MS.1.9-KS.9.11					
