c1	KS.9.1.lemma20.000	KS.9.1.lemma20.001	KS.9.1.lemma20.002	KS.9.1.lemma20.003	KS.9.1.lemma20.004	KS.9.1.lemma20.005	KS.9.1.lemma20.006	KS.9.1.lemma20.007	KS.9.1.lemma20.008	KS.9.1.lemma20.009	KS.9.1.lemma20.010	KS.9.1.lemma20.011	KS.9.1.lemma20.012	KS.9.1.lemma20.013	KS.9.1.lemma20.014	KS.9.1.lemma20.015	KS.9.1.lemma20.016	KS.9.1.lemma20.017	KS.9.1.lemma20.018	KS.9.1.lemma20.019	KS.9.1.lemma20.020	KS.9.1.lemma20.021	KS.9.1.lemma20.022	KS.9.1.lemma20.023	KS.9.1.lemma20.024	KS.9.1.lemma20.025	KS.9.1.lemma20.026	KS.9.1.lemma20.027	KS.9.1.lemma20.028	KS.9.1.lemma20.029	KS.9.1.lemma20.030	KS.9.1.lemma20.031
MS.1.7.lemma20.000	0.98475385	0.8745329	0.9570778	0.95268464	0.95522076	0.9210956	0.8896789	0.9339636	0.9467756	0.9475609	0.92477804	0.94304234	0.83770734	0.8920698	0.94861174	0.93148506	0.9550606	0.95598465	0.9504836	0.95533514	0.824297	0.93822217	0.95574534	0.9432037	0.93575287	0.9480836	0.952163	0.89463496	0.9546999	0.9352454	0.9224973	0.96044445
MS.1.7.lemma20.001	0.9288348	0.8708584	0.8923462	0.8876898	0.8964734	0.88433695	0.8958652	0.89423	0.90258104	0.89974177	0.89491415	0.8995203	0.8332368	0.8976939	0.9151998	0.90755814	0.90615934	0.9138417	0.9155323	0.9072661	0.8209902	0.9100123	0.90271014	0.89681405	0.8967333	0.9143635	0.91114014	0.86841685	0.91705644	0.9209428	0.8724232	0.9107069
MS.1.7.lemma20.002	0.831115	0.97442544	0.80212414	0.83963764	0.8139254	0.8658434	0.85187054	0.83351636	0.86362016	0.8377643	0.8519168	0.83301294	0.8080263	0.86794573	0.8686105	0.8144976	0.8287263	0.8170945	0.80299485	0.818603	0.7841172	0.8348646	0.8129851	0.7992248	0.8380745	0.8535114	0.85001886	0.8468176	0.80668855	0.83471155	0.78581715	0.80917674
MS.1.7.lemma20.003	0.94889146	0.8445404	0.99002355	0.9427793	0.96595335	0.88776267	0.8707713	0.9138068	0.9422672	0.94834846	0.9062079	0.9568506	0.83128864	0.8591561	0.9360039	0.9556466	0.9553741	0.9460678	0.9548737	0.9598339	0.8517388	0.93601954	0.96523005	0.95762116	0.92805433	0.9325901	0.93445766	0.8659457	0.9636611	0.93932223	0.9192306	0.9567083
MS.1.7.lemma20.004	0.94277316	0.88189954	0.9390919	0.98228234	0.9426475	0.8931613	0.87522405	0.9039298	0.94614995	0.9384411	0.9205497	0.93463254	0.84006405	0.89708674	0.92624944	0.92676157	0.95077384	0.92489237	0.9285638	0.9408708	0.8050864	0.91545963	0.93610907	0.9311871	0.9119406	0.92390573	0.9418172	0.8889891	0.94778514	0.9312609	0.91903585	0.9307335
MS.1.7.lemma20.005	0.9597245	0.87080765	0.9595076	0.9455652	0.9887945	0.9272706	0.897778	0.93233037	0.94855213	0.9486725	0.9072116	0.9577714	0.8544116	0.8771822	0.9390213	0.941431	0.9603565	0.9507415	0.9521522	0.96741676	0.8443891	0.93800783	0.96173143	0.94186556	0.92625743	0.9373208	0.94411165	0.8829787	0.96253663	0.9443069	0.93609875	0.9646353
MS.1.7.lemma20.006	0.8850182	0.90390885	0.845153	0.869177	0.8763685	0.97062933	0.91055524	0.8925333	0.89507365	0.8760168	0.8860048	0.87478715	0.8351563	0.8936091	0.88963515	0.849573	0.89316034	0.87038255	0.85817975	0.8708191	0.8535459	0.87397575	0.8741518	0.86402225	0.8604139	0.87226015	0.87879145	0.8611996	0.84484875	0.8625748	0.82966506	0.88596493
MS.1.7.lemma20.007	0.8861229	0.888836	0.8801142	0.8914169	0.8967858	0.93571055	0.8875408	0.8864492	0.8963008	0.87404764	0.8905152	0.90518683	0.837288	0.9011258	0.9064735	0.876765	0.9163587	0.8849322	0.89078736	0.89553726	0.8824136	0.8797425	0.89863586	0.90077764	0.8864601	0.88531756	0.8822055	0.86051977	0.8698412	0.899043	0.82885104	0.8929144
MS.1.7.lemma20.008	0.9363043	0.8819424	0.9082576	0.9058827	0.92708415	0.9271133	0.9885293	0.93364084	0.92990863	0.93204933	0.9218238	0.9312352	0.84170246	0.9045515	0.91496205	0.90503514	0.93344855	0.9258818	0.91762483	0.931625	0.8376014	0.93713903	0.9235395	0.9223697	0.89488083	0.9280205	0.93717515	0.89549184	0.9150927	0.91970193	0.8986181	0.93673986
MS.1.7.lemma20.009	0.9390436	0.8718901	0.9397155	0.9372045	0.9474361	0.9310472	0.8839998	0.94836724	0.93729204	0.93681824	0.8971461	0.9317003	0.8226601	0.85934556	0.9218659	0.92160654	0.93528056	0.91414744	0.9207208	0.93572617	0.8131182	0.9279796	0.93675435	0.92116165	0.8907697	0.9121305	0.9290016	0.8611903	0.93838376	0.90921235	0.91459787	0.9376454
MS.1.7.lemma20.010	0.92022103	0.877166	0.89350307	0.8997493	0.9085537	0.9105431	0.90807307	0.9380815	0.9239018	0.9080999	0.91464514	0.9266355	0.7833446	0.88995606	0.908323	0.86998755	0.9154517	0.905082	0.9081328	0.9030124	0.84912074	0.9272884	0.9118607	0.9090322	0.899493	0.9247494	0.93057144	0.87110394	0.9017196	0.93313134	0.8534589	0.92896295
MS.1.7.lemma20.011	0.95681906	0.89118546	0.9582124	0.9499953	0.96247035	0.9148555	0.897655	0.93493474	0.99067116	0.9784987	0.94776404	0.9601559	0.8315754	0.89477575	0.9482445	0.9341421	0.96571195	0.9469112	0.9480084	0.9610743	0.8472408	0.94085646	0.96470445	0.9462245	0.9333647	0.9580303	0.9736403	0.9160076	0.95474863	0.94645816	0.92165005	0.95625454
MS.1.7.lemma20.012	0.93821466	0.8853674	0.95106363	0.93462586	0.94998956	0.89272636	0.8937317	0.9213667	0.9622163	0.97487843	0.9274284	0.95152277	0.8266798	0.88647175	0.9408328	0.93384504	0.94717705	0.9389021	0.947326	0.9573368	0.8489411	0.9364571	0.95879257	0.93994975	0.9274665	0.946926	0.9570822	0.89857775	0.95499325	0.93480414	0.91245776	0.9373784
MS.1.7.lemma20.013	0.91306293	0.8758843	0.90838015	0.89594066	0.9162374	0.9015923	0.89935946	0.9169482	0.9466988	0.96359605	0.9343042	0.92150164	0.82369727	0.8959604	0.92423695	0.8976331	0.9249155	0.9075099	0.9120226	0.9203315	0.8612838	0.911214	0.93675137	0.9126028	0.9051639	0.92592335	0.9460146	0.89800096	0.9128708	0.9039923	0.8933717	0.91254264
MS.1.7.lemma20.014	0.9429358	0.8811563	0.93014586	0.93645525	0.940194	0.9035875	0.9048784	0.92543375	0.9694016	0.95309263	0.98816216	0.95056605	0.8257365	0.92241216	0.94145834	0.90950143	0.9571341	0.9333942	0.9254371	0.9362864	0.8581052	0.9234115	0.953548	0.9386795	0.9186939	0.948301	0.9661641	0.91929036	0.92504835	0.93383807	0.8984245	0.9393234
MS.1.7.lemma20.015	0.9100508	0.8667561	0.923959	0.91652	0.9376603	0.8826911	0.8827673	0.9155901	0.91437626	0.90114295	0.90594137	0.9625268	0.8216174	0.88395756	0.9217769	0.9044916	0.9245346	0.913776	0.92585343	0.93667966	0.88870513	0.9143584	0.9359803	0.92169607	0.921218	0.92539376	0.913692	0.86469215	0.9111313	0.9185033	0.85651183	0.9201312
MS.1.7.lemma20.016	0.9443656	0.8691841	0.9508219	0.9345314	0.9574643	0.88854945	0.8985846	0.928212	0.9465195	0.95191985	0.92622864	0.97450215	0.859148	0.9071683	0.951061	0.92951363	0.9590132	0.95101833	0.95285356	0.9650321	0.85471547	0.93267155	0.9680689	0.95499885	0.9244871	0.9546675	0.95659494	0.90576553	0.9519137	0.937495	0.90880764	0.9456441
MS.1.7.lemma20.017	0.87825495	0.8698009	0.84977055	0.8782064	0.86523986	0.8863189	0.90025944	0.8737875	0.88407093	0.87832177	0.90394646	0.89038193	0.9213001	0.96449673	0.9097561	0.8526778	0.9008725	0.88774705	0.8666298	0.8765656	0.8636749	0.8572623	0.8859114	0.8913729	0.89114314	0.89389944	0.8914261	0.89789325	0.8385748	0.861463	0.8141307	0.8691929
