c1	MS.1.6.lemma200.000	MS.1.6.lemma200.001	MS.1.6.lemma200.002	MS.1.6.lemma200.003	MS.1.6.lemma200.004	MS.1.6.lemma200.005	MS.1.6.lemma200.006	MS.1.6.lemma200.007	MS.1.6.lemma200.008	MS.1.6.lemma200.009	MS.1.6.lemma200.010	MS.1.6.lemma200.011	MS.1.6.lemma200.012	MS.1.6.lemma200.013	MS.1.6.lemma200.014	MS.1.6.lemma200.015	MS.1.6.lemma200.016	MS.1.6.lemma200.017	MS.1.6.lemma200.018
MS.1.1.lemma200.000	0.94271547	0.93810797	0.9383643	0.90683955	0.8965817	0.9546175	0.94660246	0.9573875	0.90897965	0.9052749	0.9046141	0.92089105	0.9340604	0.93809384	0.9315322	0.93320805	0.9430755	0.92670554	0.9271151
MS.1.1.lemma200.001	0.93507904	0.9275268	0.9258579	0.89365697	0.88996017	0.9465574	0.9380438	0.94675916	0.9047724	0.90290886	0.8936516	0.9090664	0.9211129	0.93079674	0.9195549	0.93023324	0.9377408	0.9223514	0.9230247
MS.1.1.lemma200.002	0.9489791	0.9403971	0.93112177	0.9003143	0.8913826	0.95613396	0.94649136	0.95626837	0.91055644	0.90371156	0.8999443	0.91949755	0.9265833	0.93541557	0.92624676	0.9268817	0.9404767	0.9175674	0.9268744
MS.1.1.lemma200.003	0.94449115	0.9213069	0.9290947	0.91631484	0.9133736	0.93940556	0.94654256	0.94071186	0.9237175	0.9193573	0.91018397	0.91445726	0.92524177	0.9367373	0.9319931	0.94287556	0.9433716	0.9310752	0.92011416
MS.1.1.lemma200.004	0.9367329	0.93444514	0.9355379	0.9039654	0.8891408	0.95866054	0.9395124	0.9580578	0.90483147	0.9103297	0.90038866	0.9159545	0.92857146	0.93897665	0.9276049	0.92236084	0.9335395	0.91710603	0.9202492
MS.1.1.lemma200.005	0.94171715	0.9321235	0.93747026	0.9118307	0.9009245	0.954706	0.94798887	0.9596931	0.9255063	0.9152883	0.9145712	0.9262386	0.93898475	0.94557923	0.9332607	0.94287103	0.94701326	0.9403352	0.93221056
