c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.010	0.9513822	0.9205273	0.91080725	0.9395265	0.89735353	0.918996	0.9360778	0.94536674	0.95722413	0.93269664	0.8672076	0.88047844	0.89186406	0.87702036	0.90963954	0.9052908	0.9115667	0.92143655	0.89090985	0.92799646	0.9173198	0.9352975	0.9351902	0.90778667	0.8955806	0.9236096	0.9023615	0.93378633	0.9501131	0.9331057	0.93726987	0.9195404	0.9211252	0.94736534	0.9412194	0.9584988	0.94166225	0.9572324	0.91083646
MS.1.6.lemma100.011	0.9354906	0.91421735	0.90045625	0.93694526	0.90060127	0.8997103	0.9341795	0.93924004	0.932518	0.9162417	0.86824507	0.8705254	0.87978256	0.8994428	0.92177284	0.9345614	0.9213833	0.92656183	0.9000593	0.92899513	0.91174924	0.9184344	0.93979514	0.9022305	0.92973614	0.9505356	0.90064263	0.93219775	0.9435598	0.93143636	0.93097615	0.90944606	0.9279684	0.9543481	0.9305829	0.9608901	0.9239397	0.95773333	0.9218842
MS.1.6.lemma100.012	0.9179632	0.9211213	0.9144977	0.92097455	0.8534072	0.8974953	0.94125867	0.8961217	0.88732976	0.8871894	0.88873094	0.89424425	0.9088467	0.9255064	0.9442433	0.9409817	0.93351984	0.9285368	0.89530855	0.8938983	0.89155984	0.89081603	0.91709226	0.9497099	0.89094377	0.9251512	0.8801908	0.9397285	0.92070097	0.9166275	0.9254713	0.9395583	0.9364747	0.9391362	0.92297506	0.93101424	0.9046802	0.88856107	0.9111459
MS.1.6.lemma100.013	0.9303328	0.9397141	0.9306302	0.94043684	0.90554523	0.9201945	0.94413424	0.9102786	0.9071729	0.8939643	0.9187347	0.90566194	0.9066404	0.9463744	0.9463525	0.9264737	0.9199337	0.92895496	0.9123852	0.9211201	0.91429204	0.9079578	0.92567754	0.957258	0.8937583	0.92115843	0.9097393	0.9464143	0.9367748	0.91858816	0.926727	0.9428923	0.9477312	0.94374204	0.93308383	0.9330628	0.91244084	0.91391695	0.91993713
MS.1.6.lemma100.014	0.9640622	0.95549566	0.92750156	0.94019157	0.90184623	0.9363718	0.95601296	0.92708963	0.95349705	0.9195169	0.90955347	0.91020685	0.9284044	0.9183437	0.9436902	0.89582497	0.90261084	0.93370336	0.9151168	0.9252603	0.9145796	0.9553498	0.9599102	0.9434707	0.869621	0.9129487	0.8934213	0.9573868	0.9332856	0.94729686	0.9581554	0.9645857	0.93051624	0.94981575	0.94512737	0.95798707	0.9428517	0.9288	0.91559273
MS.1.6.lemma100.015	0.9664713	0.960831	0.954094	0.96961874	0.9173686	0.93834645	0.97847867	0.9651267	0.94849443	0.945915	0.90422493	0.9173604	0.91925806	0.9370014	0.9676563	0.9390192	0.95610034	0.9524746	0.9492757	0.96273905	0.94147974	0.96296245	0.9581823	0.94245684	0.9234429	0.9499323	0.91330117	0.97898626	0.9610276	0.9695604	0.9699717	0.9707677	0.9532231	0.9732909	0.96300596	0.97191155	0.9690449	0.9667845	0.9577054
MS.1.6.lemma100.016	0.9393451	0.93980795	0.9333936	0.9551264	0.8931545	0.91920584	0.94719267	0.94645154	0.9174218	0.9331213	0.8891949	0.89927673	0.8875529	0.9154159	0.96779495	0.9233128	0.9359063	0.9448018	0.92759115	0.9340681	0.90524226	0.92648125	0.9333816	0.9343356	0.9161137	0.9339894	0.8892519	0.94500476	0.9466349	0.9348567	0.9351695	0.9453074	0.93703324	0.94826156	0.9409876	0.94550157	0.9439354	0.9384929	0.9623438
MS.1.6.lemma100.017	0.8934024	0.88378847	0.8967239	0.91211736	0.85649896	0.89118564	0.9095238	0.8839319	0.8687267	0.9067851	0.8543914	0.8624183	0.88473964	0.91564274	0.9094837	0.87799543	0.87552685	0.9222265	0.91514206	0.9064941	0.89577395	0.8764133	0.8894556	0.9004668	0.9057868	0.9029795	0.87840396	0.91055393	0.90496546	0.89500326	0.9100783	0.91588175	0.9260614	0.9348404	0.8975736	0.90188354	0.89324677	0.8920342	0.89050055
MS.1.6.lemma100.018	0.9706742	0.96163136	0.94588256	0.9557227	0.90957314	0.94675773	0.9653721	0.93710536	0.9517232	0.9264294	0.902293	0.9245325	0.9666704	0.93400747	0.96393275	0.9229142	0.927198	0.95270675	0.9312248	0.9418457	0.948608	0.9453799	0.9627914	0.96297795	0.9048392	0.9418181	0.928339	0.9704354	0.9505848	0.95907044	0.968815	0.97757375	0.95164627	0.96405315	0.9673225	0.9703844	0.9545936	0.94395155	0.92990106
MS.1.6.lemma100.019	0.9470241	0.93605345	0.9283347	0.9335504	0.8852498	0.91015357	0.9609437	0.9269344	0.9242237	0.90993285	0.8870732	0.8927909	0.9315344	0.91899174	0.95075446	0.90262896	0.9195797	0.9212171	0.92424583	0.9225521	0.917237	0.94504315	0.9449612	0.94111574	0.8775351	0.91804713	0.8797116	0.9588157	0.93219227	0.95218676	0.95319754	0.96275187	0.9349063	0.9379105	0.936721	0.9407993	0.93748516	0.91666514	0.92598236
MS.1.6.lemma100.020	0.95893633	0.94107026	0.94030607	0.96357244	0.9184283	0.9284491	0.96126574	0.9595147	0.9450323	0.9401362	0.8968498	0.908851	0.90406686	0.9228322	0.9493544	0.9453312	0.94059926	0.95414984	0.9364465	0.945757	0.92242277	0.94380105	0.9505054	0.92166513	0.93156683	0.9581243	0.91103363	0.9608251	0.96030694	0.955222	0.95699346	0.941573	0.9500175	0.9738928	0.9501261	0.9671982	0.94851446	0.96716666	0.95100826
MS.1.6.lemma100.021	0.94604987	0.9394807	0.92309093	0.9229619	0.88677114	0.9227782	0.9387754	0.92007476	0.9390946	0.8974595	0.8938858	0.9159762	0.90325016	0.9144674	0.91245174	0.90987235	0.88895416	0.9268578	0.9264853	0.92508715	0.91533077	0.9343877	0.93437093	0.93135726	0.87050456	0.9118803	0.8971901	0.9675918	0.9315755	0.9548495	0.94884753	0.9314661	0.93275017	0.94614005	0.9320975	0.9417957	0.9219393	0.9213884	0.9144873
MS.1.6.lemma100.022	0.9468526	0.9396072	0.93607503	0.95194304	0.9100503	0.940828	0.95395315	0.93638116	0.9359635	0.9198946	0.9308619	0.90947026	0.90234506	0.91479903	0.94956887	0.93130344	0.92914045	0.9345161	0.9258744	0.9416714	0.92477	0.9338875	0.939372	0.94091237	0.9127331	0.9416758	0.91206765	0.95482814	0.96230197	0.9389095	0.9422938	0.95413923	0.95324874	0.95649385	0.94505656	0.96146107	0.94210476	0.95454395	0.9502165
