c1	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.9.lemma20.010	0.9295884	0.83237475	0.85393935	0.8178293	0.8224144	0.7736841	0.8521632	0.8012886	0.96165085	0.8234527	0.98671275	0.84575593	0.8722791	0.8408976	0.8458358	0.8485796	0.8441113	0.84902835	0.8424771	0.84449184	0.8328746	0.8561126	0.83478624	0.84910834	0.83270705	0.7446862	0.7341981	0.84207326	0.80953926	0.9002949	0.9253528	0.91484743	0.83458453	0.8860104	0.78806764	0.86418533	0.84568554	0.84888136	0.84643835	0.87890965	0.85039645	0.8790728	0.8722675	0.80580926	0.7656365	0.84181106	0.8265886	0.838879	0.87294734	0.9124687	0.9009788	0.846674	0.8762628	0.9264622	0.8452794	0.88392544	0.92053443	0.8782529	0.8519594	0.86944515	0.8315492	0.8520099	0.89475185	0.88978595	0.88608646	0.8901934	0.8527264	0.8165488	0.86447746	0.775796	0.89993715	0.85529655	0.848306	0.8240732	0.87482154	0.7658719	0.84655404	0.8129044	0.8323088	0.78921324	0.841843	0.8902463	0.82147306	0.84086543	0.87215245	0.83154655	0.7828432	0.86944526	0.8558637	0.8608372	0.8610426
MS.1.9.lemma20.011	0.8810392	0.8817466	0.84485716	0.8223109	0.8541697	0.8348718	0.9144237	0.8541301	0.8840145	0.9114597	0.87151295	0.92871356	0.8626466	0.87495834	0.89538	0.88047516	0.89148676	0.8941505	0.89438593	0.8800409	0.8852923	0.89493215	0.8872097	0.90429455	0.8959851	0.7986353	0.82941085	0.883377	0.8950616	0.91398513	0.9100265	0.7954839	0.92239153	0.90880144	0.7221366	0.8671868	0.87760484	0.8740552	0.87725633	0.9007387	0.85446143	0.8711578	0.8501993	0.8433367	0.8204806	0.8792916	0.8299424	0.8470377	0.889457	0.8762887	0.906607	0.8229485	0.8556485	0.89262456	0.8112047	0.8587047	0.8738918	0.8716693	0.8719719	0.85923064	0.87127644	0.8175195	0.86183125	0.8982372	0.80727303	0.89097536	0.8841046	0.8385519	0.8528515	0.79051816	0.88805354	0.8405545	0.8499427	0.8488445	0.88234496	0.7920661	0.8803399	0.78178495	0.8396804	0.8518418	0.8168196	0.87362146	0.81020385	0.86013097	0.8693838	0.88109726	0.8182803	0.86156523	0.8884157	0.81934154	0.87450033
MS.1.9.lemma20.012	0.8126975	0.8566136	0.8210357	0.8512546	0.85306334	0.8225353	0.8578794	0.8128635	0.80758065	0.83308834	0.8132762	0.8495489	0.91217464	0.92918557	0.9004645	0.87506944	0.85897744	0.8931227	0.8666947	0.8788162	0.8606324	0.8850113	0.860189	0.9025134	0.87241703	0.7787856	0.77037495	0.8809872	0.84061915	0.84930027	0.8345684	0.7360654	0.848893	0.8597937	0.6875708	0.8297503	0.8016661	0.8343439	0.8109459	0.8435974	0.8436869	0.8661259	0.82744324	0.7971036	0.81083333	0.8539286	0.8810048	0.86111796	0.85890925	0.8375736	0.8297422	0.8283653	0.80020356	0.8345057	0.84050304	0.8180914	0.81518453	0.8330662	0.79560083	0.79826653	0.8341096	0.81456774	0.84662086	0.807491	0.75622755	0.8500848	0.86234677	0.78938025	0.83954453	0.82086486	0.8572054	0.8374693	0.82490844	0.8531834	0.8758648	0.80030525	0.86573476	0.76800066	0.84267247	0.84588563	0.81275135	0.8714183	0.8128787	0.8526279	0.786118	0.8026724	0.8340659	0.8250088	0.8474411	0.7887845	0.8700312
MS.1.9.lemma20.013	0.85047245	0.8210343	0.8220461	0.7904609	0.85964984	0.8340389	0.8699454	0.82082015	0.8793706	0.81643593	0.89477617	0.8293395	0.88491315	0.8428674	0.85102665	0.8375816	0.8465454	0.8490211	0.8471423	0.8419459	0.8384508	0.83890414	0.8301179	0.8441733	0.84206235	0.8285422	0.8196167	0.8681149	0.8583433	0.90510416	0.8635631	0.76503223	0.8242563	0.87488925	0.6708247	0.8264976	0.8549543	0.85529196	0.8359488	0.86265206	0.843856	0.85608804	0.8143148	0.80704087	0.80155015	0.85432714	0.8152143	0.77948	0.83481044	0.8375332	0.85370755	0.7691922	0.79192704	0.8486512	0.78617346	0.8106858	0.84391826	0.8417234	0.79787725	0.78547144	0.8340602	0.78889924	0.8272012	0.8299303	0.7615187	0.84219545	0.8657727	0.80902773	0.8220498	0.7480263	0.87162095	0.8210481	0.8208763	0.80291474	0.83044297	0.73994476	0.808199	0.75294197	0.7778314	0.7687028	0.7830525	0.8513437	0.77232754	0.8337313	0.84728014	0.8614384	0.7826201	0.8434948	0.8300578	0.81994474	0.8738502
MS.1.9.lemma20.014	0.85513854	0.87081623	0.83204347	0.7987642	0.85379726	0.790853	0.88472146	0.85048527	0.8267189	0.8529393	0.82028604	0.8670539	0.8418903	0.9683927	0.967854	0.9439982	0.9348876	0.94435734	0.9353306	0.94624215	0.9374077	0.94113386	0.9281187	0.95178354	0.9342326	0.7835562	0.81326705	0.87804705	0.8765515	0.8734073	0.85811985	0.7608801	0.863672	0.8727893	0.6598116	0.87137246	0.8891982	0.86775625	0.84859216	0.85072637	0.8532022	0.86691874	0.8267233	0.7993863	0.84374183	0.8442982	0.8348311	0.83168954	0.85681844	0.83581996	0.8459616	0.7680834	0.8060776	0.8404231	0.77126044	0.8257716	0.8207482	0.80873	0.84219766	0.81411856	0.8548926	0.8025789	0.84875035	0.839147	0.7609054	0.8276404	0.8395287	0.82901794	0.8326767	0.79416764	0.8408302	0.8188657	0.8247053	0.81802475	0.8446289	0.7455407	0.8357861	0.74663156	0.8056452	0.80488193	0.79167277	0.8567343	0.7755024	0.80983245	0.80585974	0.8300189	0.8147593	0.83840233	0.828956	0.7775835	0.873619
MS.1.9.lemma20.015	0.8354437	0.85678875	0.8607782	0.86851317	0.85280335	0.81207085	0.87210745	0.8353038	0.81430817	0.83613765	0.80965257	0.8642588	0.86650896	0.95088243	0.96874195	0.9510314	0.9616494	0.9587336	0.96344036	0.94761443	0.9562848	0.95583075	0.95628554	0.9505493	0.9579989	0.7761589	0.7851665	0.8870905	0.8832333	0.8867386	0.848834	0.7435377	0.8581052	0.8839707	0.6607433	0.85878754	0.86940336	0.85434496	0.83370394	0.8446843	0.85071135	0.8947623	0.8219009	0.7919969	0.8291771	0.8517446	0.8363849	0.8628289	0.86354893	0.83847463	0.843417	0.81856686	0.82346576	0.8351865	0.8218614	0.83379424	0.82360566	0.83285606	0.830213	0.81082195	0.86136514	0.8222488	0.8784435	0.82967156	0.75582504	0.8707248	0.86374444	0.832254	0.85249865	0.7958843	0.87122923	0.8636247	0.79516023	0.8172106	0.8640673	0.75755155	0.8585402	0.7663926	0.81279415	0.8333192	0.79682356	0.8818251	0.79366904	0.84889865	0.78049606	0.8205658	0.80997956	0.8732446	0.84632003	0.8065572	0.8940839
MS.1.9.lemma20.016	0.84610516	0.8378851	0.79086185	0.77969944	0.8068042	0.8581527	0.8789874	0.7980159	0.8661262	0.81150556	0.8533306	0.8219596	0.88586396	0.80135983	0.83295286	0.803049	0.82938355	0.82039005	0.83197594	0.805554	0.8243739	0.81064695	0.81962466	0.80991274	0.8252215	0.8573397	0.7778983	0.88488394	0.85892767	0.9033673	0.8546701	0.7580782	0.8149717	0.8795128	0.66855186	0.8429361	0.85092306	0.86461383	0.8709171	0.8766964	0.8499134	0.86313266	0.816872	0.80740273	0.81815225	0.8602822	0.82671005	0.7917821	0.8370137	0.83882946	0.83149284	0.76521015	0.7689949	0.82376415	0.7784436	0.7785328	0.8323269	0.8414056	0.82043844	0.78142285	0.8547027	0.8198997	0.8389781	0.83317137	0.76647925	0.8484634	0.8571211	0.80378985	0.8206607	0.75671834	0.85379136	0.8300287	0.8579049	0.8193289	0.8139228	0.7474781	0.804394	0.75673604	0.7939893	0.7448194	0.7841662	0.83282363	0.762713	0.8376011	0.8431887	0.8649882	0.79621917	0.8450307	0.8326409	0.80540407	0.88025683
MS.1.9.lemma20.017	0.84746593	0.8658006	0.83228904	0.7877545	0.8043944	0.79932064	0.8714543	0.83785826	0.82750446	0.84143394	0.8161473	0.8609869	0.8300218	0.92036295	0.94080377	0.96554583	0.96805245	0.9580415	0.9606664	0.9572031	0.9590353	0.9528235	0.9477268	0.95749676	0.955534	0.78491	0.8098176	0.8653108	0.8816885	0.8825959	0.8534353	0.74633086	0.8538249	0.8725158	0.6508202	0.86893	0.8948133	0.85671276	0.83642745	0.8341807	0.8406041	0.8568821	0.82419246	0.8037501	0.82380444	0.82562727	0.8177856	0.80585355	0.8479062	0.83975947	0.85118157	0.7784183	0.8141553	0.8321659	0.77303946	0.8259012	0.82330626	0.8075755	0.8453287	0.79015225	0.8450115	0.81547606	0.8408587	0.8495949	0.7520618	0.8354379	0.8283985	0.8157385	0.8198669	0.76043063	0.82919985	0.83365786	0.8192855	0.80095553	0.8294431	0.7415015	0.8285544	0.75298446	0.7943766	0.79376894	0.783315	0.85286915	0.7510081	0.8047612	0.79323226	0.8294507	0.7922815	0.8292904	0.8312091	0.7705522	0.8661465
MS.1.9.lemma20.018	0.844626	0.84910613	0.85626596	0.8533822	0.8290826	0.79130834	0.8540501	0.835459	0.8179335	0.8285458	0.8138679	0.861936	0.8555377	0.932444	0.9549357	0.96943957	0.9714459	0.95603174	0.9664502	0.951956	0.9594494	0.9598063	0.957222	0.94720024	0.9573895	0.77154726	0.77913415	0.8670945	0.8783654	0.8798532	0.84968716	0.74580497	0.8483747	0.87223786	0.6615033	0.85414475	0.86022377	0.83432734	0.82636863	0.8408226	0.8410616	0.8898302	0.82183045	0.7856602	0.8135499	0.83646166	0.8260433	0.8462957	0.85306036	0.83631325	0.84006023	0.8137263	0.8254069	0.835752	0.81399596	0.83397204	0.8288148	0.8297268	0.8315277	0.8042651	0.8534221	0.83041906	0.8666034	0.8272095	0.76491946	0.8627989	0.85097736	0.8305427	0.84332216	0.7778536	0.8590409	0.8630791	0.79345256	0.7998323	0.85527724	0.7431736	0.84838134	0.76836574	0.798152	0.817869	0.79120547	0.87862885	0.78203243	0.8382108	0.77636456	0.8142729	0.7944503	0.8747631	0.83259904	0.82088655	0.87760544
MS.1.9.lemma20.019	0.8596018	0.8397799	0.7966606	0.78442764	0.8084748	0.85404605	0.8780396	0.8063278	0.87022066	0.81055397	0.8600022	0.8254072	0.88675946	0.80909395	0.8393415	0.819912	0.8348945	0.8241992	0.8381839	0.811809	0.827632	0.81877476	0.8237203	0.8149655	0.82814515	0.8583399	0.77620286	0.88116676	0.8616682	0.9060944	0.85770535	0.7613001	0.81398046	0.87983024	0.6736609	0.84659714	0.8502645	0.86244345	0.8729523	0.8797077	0.85163116	0.8716338	0.8248264	0.80054736	0.8220966	0.85549915	0.8266799	0.79573154	0.8412672	0.8402121	0.830731	0.76315874	0.7737955	0.82850003	0.7810898	0.78530496	0.8388584	0.8457846	0.8258391	0.7834457	0.8602912	0.830368	0.8470107	0.8299247	0.7818851	0.84618884	0.85623825	0.81334686	0.82558376	0.7584661	0.85518026	0.8338792	0.8621689	0.8176258	0.81617326	0.7439427	0.8045706	0.757593	0.7927909	0.745095	0.7851	0.8368301	0.77256143	0.8356161	0.8341439	0.85883325	0.79898494	0.85301465	0.82614946	0.8175439	0.87924016
