c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.6.lemma20.000	0.9483261	0.8199743	0.7757679	0.9571561	0.9545643	0.94557714	0.82422185	0.83138937	0.8376691	0.93037933	0.8351415	0.94738877	0.957002	0.8920431	0.9245358	0.89478195	0.95466614	0.8549763	0.9292034	0.95579475	0.9616354	0.9430878	0.9353462	0.9590929	0.94114494	0.9008769	0.93189156	0.90111196	0.8826347	0.9517618	0.9616192	0.92078716	0.95122224	0.95202935	0.90688366	0.9362007	0.9292758
MS.1.6.lemma20.001	0.9617169	0.8876798	0.7965529	0.94006515	0.9256581	0.95822704	0.87974435	0.8747654	0.909859	0.9430871	0.90767807	0.9372325	0.9517859	0.9142578	0.9229244	0.91094244	0.94581765	0.86759496	0.9246954	0.94047666	0.9527112	0.94068694	0.9389255	0.9383489	0.91987497	0.9107706	0.9297199	0.8888393	0.9092531	0.9561935	0.9590356	0.93235177	0.9526613	0.9608151	0.92016906	0.95476484	0.956576
MS.1.6.lemma20.002	0.9552999	0.8360941	0.75908786	0.9544953	0.94568646	0.9562196	0.83577764	0.84887564	0.841932	0.9350683	0.84516823	0.95086014	0.9556157	0.89468396	0.9264929	0.9054264	0.95619625	0.8515768	0.9262459	0.96283364	0.9643589	0.9454983	0.9456973	0.9601269	0.93951535	0.91023725	0.93244374	0.8984513	0.8991768	0.9523862	0.97006327	0.9347011	0.9527607	0.9521029	0.90932655	0.944833	0.9350762
MS.1.6.lemma20.003	0.96021146	0.90495694	0.8419937	0.95196426	0.9340946	0.96506894	0.8903736	0.8950341	0.8990857	0.9327016	0.90425116	0.9586738	0.9476037	0.9224788	0.9440967	0.9331237	0.9464477	0.8955179	0.937357	0.941988	0.9476073	0.9439763	0.9395542	0.9390528	0.9379098	0.9420184	0.9457953	0.9129461	0.92836773	0.96204805	0.95183074	0.93724644	0.96331346	0.9611177	0.8903428	0.9500298	0.95000786
MS.1.6.lemma20.004	0.97326946	0.8740636	0.8063359	0.95478094	0.9443449	0.9712263	0.89009833	0.88920563	0.89897263	0.941695	0.891126	0.95418525	0.9481551	0.9136453	0.9500075	0.9213721	0.9506512	0.89060897	0.9466642	0.9585187	0.9692079	0.96332675	0.9497142	0.9481197	0.9485828	0.93031245	0.9498115	0.90868753	0.9250253	0.95878416	0.96016073	0.9560497	0.9631631	0.95586777	0.90579504	0.9510399	0.9479041
MS.1.6.lemma20.005	0.97098005	0.8526672	0.77743846	0.9667676	0.93837667	0.9618814	0.8653921	0.87264293	0.8759242	0.94134295	0.88891286	0.94972634	0.9521917	0.90398204	0.9380965	0.9223243	0.956651	0.86302054	0.93899655	0.9480144	0.9706198	0.95797545	0.948175	0.9444307	0.9383353	0.9292076	0.94513285	0.8874219	0.9245779	0.9661952	0.964208	0.9514281	0.9610617	0.9656171	0.89550984	0.9528682	0.95157087
MS.1.6.lemma20.006	0.9645544	0.8510463	0.80943674	0.9333336	0.93464845	0.9647414	0.90713304	0.8713336	0.894207	0.9603006	0.8766392	0.9453965	0.93102944	0.9142904	0.9304062	0.8805002	0.93215185	0.88962543	0.9304061	0.9446166	0.9470244	0.94182736	0.9225676	0.93700653	0.91333485	0.905928	0.9389353	0.88105464	0.90521383	0.94876534	0.94490373	0.9244376	0.9540475	0.933712	0.9227127	0.9575351	0.92895126
MS.1.6.lemma20.007	0.937467	0.83813906	0.77876973	0.9495106	0.926759	0.9493208	0.8712003	0.8786427	0.8604635	0.9383232	0.8347746	0.9381864	0.9398414	0.91519904	0.9260817	0.89756507	0.9504767	0.8773998	0.92992127	0.94866014	0.95168924	0.9415884	0.9337521	0.9512257	0.92183256	0.90988624	0.94229335	0.8856458	0.90415215	0.94107795	0.95656765	0.9242747	0.9390514	0.9425638	0.8926365	0.94106567	0.91590285
MS.1.6.lemma20.008	0.94904256	0.9045193	0.8441713	0.9299323	0.9132554	0.94867754	0.9018107	0.89540553	0.9183667	0.91878414	0.9157671	0.9428578	0.932467	0.9179913	0.93334836	0.9176892	0.92566955	0.905884	0.92822933	0.91834927	0.9288543	0.9334227	0.92365307	0.9141532	0.91957664	0.92971385	0.9365945	0.89579874	0.9272815	0.9415299	0.9265068	0.9315101	0.94648236	0.9493221	0.8589796	0.92733234	0.93809706
MS.1.6.lemma20.009	0.95441943	0.8770133	0.8021252	0.9184128	0.90325165	0.9488195	0.9000745	0.870188	0.9279043	0.9236222	0.91100067	0.9357637	0.9171892	0.9174341	0.92963463	0.87438893	0.91485083	0.89201707	0.9199893	0.9296136	0.92817867	0.93520653	0.92301434	0.91029096	0.90762925	0.9088044	0.93036026	0.88492376	0.90339655	0.92249143	0.9220995	0.9361242	0.9417286	0.9278729	0.8907768	0.9309677	0.92748904
