	lemma20	lemma100
MS.1.1-MS.1.6	0.8147356	0.9010085
MS.1.6-MS.1.7	0.8555936	0.9332074
MS.1.6-KS.8	0.86308086	0.94144976
MS.1.7-KS.9.1	0.85944474	0.9447572
