	MS.1.1-MS.1.6	MS.1.6-MS.1.7	MS.1.6-KS.8	MS.1.7-KS.9.1
MS.1.1-MS.1.6		-20.201497121844397	-40.427991338413605	-12.30232915639632
MS.1.6-MS.1.7			-6.914349564745958	-3.6398929752287676
MS.1.6-KS.8				-1.2005550359782715
MS.1.7-KS.9.1				
