c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.021	0.952552	0.9466595	0.92626196	0.9392859	0.8968275	0.91996104	0.9474938	0.9372375	0.94380784	0.9252952	0.89572614	0.911505	0.9224975	0.91659945	0.9273321	0.9184813	0.9240991	0.9302871	0.9292409	0.9440804	0.9275795	0.94719046	0.93995523	0.9307359	0.8911081	0.9195567	0.91054034	0.96580064	0.939778	0.9620271	0.95537513	0.94325364	0.9332674	0.9509213	0.9387441	0.9454038	0.94780546	0.9391987	0.919789
MS.1.6.lemma100.022	0.9525762	0.935229	0.92759305	0.94251907	0.88912153	0.91470027	0.95657617	0.93574613	0.9353643	0.9380779	0.9138979	0.89156497	0.90333545	0.90885067	0.94066304	0.939978	0.9497976	0.92839444	0.92665267	0.9418015	0.9272964	0.938914	0.9199218	0.9275336	0.91745496	0.9526682	0.9166434	0.9444328	0.9652365	0.9464816	0.9461687	0.953821	0.9480062	0.9538681	0.94612366	0.96007407	0.94853985	0.94141746	0.94140697
MS.1.6.lemma100.023	0.9479608	0.9319807	0.94327754	0.9262176	0.9013684	0.9322793	0.9354434	0.92448026	0.9508941	0.91356146	0.90756685	0.8821179	0.9101114	0.91434824	0.9195237	0.91475654	0.91320616	0.923285	0.9042199	0.9202978	0.94873106	0.9152588	0.91485673	0.9092116	0.88506824	0.91270053	0.94065267	0.93929243	0.953658	0.9240565	0.92914724	0.9209738	0.95127237	0.93838805	0.93756104	0.9367064	0.92417103	0.92237115	0.89950806
MS.1.6.lemma100.024	0.9622942	0.9510362	0.9485295	0.9525319	0.914689	0.92659044	0.96040314	0.9541368	0.9633552	0.9475481	0.9123944	0.90059197	0.9274488	0.92185205	0.94968873	0.9390799	0.9534979	0.93461406	0.9215053	0.9452721	0.9460299	0.94711643	0.93143255	0.9315746	0.9258446	0.94663537	0.9419874	0.95722026	0.9639428	0.9478684	0.95224434	0.9535421	0.9475793	0.9575341	0.9568968	0.96133864	0.95583576	0.96150655	0.93503773
MS.1.6.lemma100.025	0.97020143	0.9669051	0.9673335	0.9650329	0.97072977	0.97091806	0.94132787	0.9338361	0.9335491	0.9185137	0.9483581	0.94321096	0.91871136	0.94445026	0.9478579	0.92497283	0.93786466	0.9539903	0.914459	0.93828	0.9345063	0.9341212	0.9688477	0.9263537	0.90905446	0.93321157	0.9460289	0.9508611	0.96032196	0.94081956	0.9414176	0.94508904	0.945346	0.9550764	0.9537923	0.96073097	0.96158725	0.9520752	0.9283463
MS.1.6.lemma100.026	0.9660949	0.96164006	0.986051	0.9666449	0.94205624	0.95383835	0.9521645	0.94341636	0.9395467	0.9293807	0.93146473	0.9287074	0.93724984	0.94151324	0.9524116	0.92430323	0.9483869	0.95074755	0.92199546	0.93646646	0.93104756	0.94717747	0.9595568	0.9319046	0.90048635	0.92461777	0.9329893	0.9641701	0.9542309	0.94878334	0.9511021	0.95293605	0.95122916	0.95798755	0.94541657	0.95169175	0.95557916	0.94427276	0.9225327
MS.1.6.lemma100.027	0.9504274	0.9557766	0.94239557	0.9789808	0.90151894	0.9273759	0.9585985	0.962434	0.91486603	0.9615106	0.9019381	0.9355934	0.9218099	0.92743176	0.96556664	0.9323592	0.9555638	0.9581712	0.94152266	0.9587663	0.91178966	0.9499204	0.9490551	0.9477882	0.9259054	0.9471894	0.90885454	0.9549723	0.9526744	0.95664656	0.9577005	0.9576497	0.93983096	0.95736545	0.9449732	0.9598456	0.963613	0.96336377	0.94899046
MS.1.6.lemma100.028	0.96041054	0.9494009	0.96039927	0.9516982	0.93728787	0.96049845	0.9377934	0.923674	0.9230028	0.9111574	0.9080689	0.9269148	0.91345215	0.940071	0.94649595	0.93193847	0.9356366	0.9415658	0.9031535	0.92740625	0.94035244	0.923331	0.95257455	0.9262944	0.90643036	0.93871015	0.943227	0.94665396	0.9532727	0.9327128	0.93028104	0.9435138	0.9491474	0.9462886	0.9545334	0.9575102	0.95140004	0.9394903	0.91603
MS.1.6.lemma100.029	0.949857	0.9648732	0.93973655	0.96688557	0.93892497	0.9318792	0.93592185	0.934079	0.9056931	0.91103065	0.95646185	0.96464	0.9388771	0.93948865	0.9514642	0.91513854	0.9380927	0.94896173	0.93743265	0.9490167	0.9055738	0.93789816	0.9512234	0.9543067	0.8867165	0.9156049	0.91589	0.9516984	0.9365815	0.9450315	0.94690967	0.9519364	0.93505013	0.9539938	0.9344321	0.93907064	0.95594406	0.93161696	0.95405483
MS.1.6.lemma100.030	0.9652904	0.9554577	0.9431965	0.9491203	0.901182	0.9257362	0.95748204	0.9422579	0.9404233	0.9367095	0.89877003	0.9138882	0.93954223	0.9246185	0.9523879	0.9390048	0.9573917	0.955035	0.9279989	0.9382066	0.9319356	0.9408093	0.94670933	0.95125985	0.91478574	0.93891996	0.9222215	0.9656253	0.9559178	0.9537343	0.9570523	0.9643333	0.94680405	0.96344095	0.96550167	0.9690586	0.9598995	0.9372703	0.9400723
