c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.1.lemma20.000	0.8329932	0.72581977	0.71715057	0.7728553	0.7870661	0.8919828	0.8710675	0.8494184	0.84346205	0.80379856	0.80872715	0.72204894	0.7582898	0.65889096	0.7146623	0.8299058	0.73955643	0.7743676	0.71952575	0.8759853	0.8282797	0.78342044	0.7831788	0.83615685	0.78833133	0.74780405	0.73812264	0.74486715	0.8591051	0.8766223	0.7492026	0.8261754	0.84109116	0.8214503	0.86597294	0.87620074	0.7919029
MS.1.1.lemma20.001	0.777571	0.6207716	0.7059452	0.70220506	0.77156806	0.7858408	0.7952181	0.7713033	0.7669159	0.73401487	0.7648003	0.6804361	0.69787204	0.60677826	0.68077385	0.7736243	0.71553195	0.778281	0.7049032	0.87085307	0.77526623	0.7753857	0.7502979	0.7713868	0.7481865	0.74946	0.67549646	0.7106703	0.78261393	0.8062165	0.6361792	0.7094913	0.76357317	0.7226826	0.8292232	0.82179576	0.71947336
MS.1.1.lemma20.002	0.8122647	0.69422466	0.70949996	0.7615784	0.78820217	0.8324476	0.82281584	0.7997186	0.8074034	0.7783503	0.78046024	0.74391884	0.73344964	0.6649954	0.7206124	0.79395646	0.72869843	0.78224033	0.69369924	0.8715155	0.80150586	0.7626271	0.7488408	0.79959697	0.7959801	0.72180045	0.74242544	0.76040244	0.836873	0.83738226	0.7237504	0.80983526	0.7973408	0.76338524	0.8367683	0.8584717	0.75502956
MS.1.1.lemma20.003	0.8082282	0.6974073	0.7095557	0.75520146	0.78773963	0.83716464	0.8386269	0.801425	0.78117317	0.78873307	0.7857397	0.71773726	0.714666	0.6378568	0.6942104	0.7764227	0.71742195	0.7609845	0.68948907	0.8272765	0.7842916	0.7435348	0.7405125	0.80591285	0.7665694	0.73358244	0.7325943	0.75353223	0.79962695	0.80484724	0.6959665	0.7632495	0.79633665	0.7671064	0.8440985	0.8353263	0.77253515
MS.1.1.lemma20.004	0.7808735	0.6908369	0.7033004	0.7618272	0.770479	0.78771764	0.80233955	0.7801264	0.7409919	0.7719029	0.748173	0.70520955	0.7183792	0.6613991	0.69136417	0.78261846	0.7431117	0.761623	0.6991436	0.8501022	0.7463627	0.74914193	0.76985687	0.77352345	0.7479709	0.7075173	0.7121025	0.70343536	0.8286835	0.8151385	0.74210745	0.78949153	0.7884955	0.73511606	0.80508494	0.8218563	0.73686355
MS.1.1.lemma20.005	0.83499175	0.7448954	0.7353842	0.79958963	0.77498966	0.86674696	0.8701004	0.84874815	0.84353215	0.83802277	0.8361389	0.74519277	0.7846024	0.7124908	0.7254874	0.8268116	0.76139593	0.76875	0.7196605	0.8298667	0.8238448	0.7654309	0.7483488	0.8266858	0.7761969	0.72121435	0.7648194	0.7459167	0.8550003	0.87652105	0.77992594	0.807769	0.84732485	0.85553813	0.80895805	0.855928	0.824516
MS.1.1.lemma20.006	0.79028636	0.69399947	0.70203894	0.7197523	0.79035443	0.80972695	0.81656677	0.7971505	0.77012587	0.7508521	0.7457555	0.72567445	0.6962842	0.64465576	0.73003745	0.81918836	0.7257626	0.7733108	0.70942074	0.9009943	0.7657531	0.7899985	0.7932842	0.79384553	0.78845	0.7822616	0.71630937	0.7491774	0.78785866	0.7999885	0.66758645	0.73896474	0.7655804	0.72982	0.90838057	0.85393566	0.7110378
MS.1.1.lemma20.007	0.79087543	0.70694554	0.76069754	0.75356805	0.77621496	0.8440219	0.8487651	0.8087213	0.8036357	0.7941041	0.7835187	0.696148	0.719287	0.64093304	0.6948643	0.7865736	0.7281699	0.8143416	0.70407945	0.80537236	0.8133727	0.8076187	0.75429857	0.7933631	0.79429924	0.68590546	0.70630527	0.7384166	0.80509454	0.80802	0.7189998	0.77371544	0.8335295	0.79210895	0.8183484	0.8318337	0.7765688
MS.1.1.lemma20.008	0.77083683	0.6758405	0.6545566	0.7353806	0.6919718	0.83811253	0.81659716	0.7897076	0.7826007	0.78196466	0.7501459	0.6686543	0.7155889	0.62545484	0.6583083	0.78632575	0.6811296	0.713296	0.6748526	0.7858102	0.7324433	0.6992385	0.7278198	0.77100873	0.7141032	0.66296595	0.67726225	0.66726935	0.82909995	0.80396247	0.7144107	0.7651487	0.78869843	0.75703347	0.79889745	0.8005097	0.75476533
MS.1.1.lemma20.009	0.79551536	0.6998258	0.69027674	0.7285062	0.76442593	0.8492707	0.8377058	0.79811335	0.7773841	0.7599229	0.7705377	0.6872579	0.7168543	0.62855417	0.6880289	0.8080752	0.71843296	0.76902074	0.7201566	0.83256316	0.7782747	0.7837209	0.7589309	0.816365	0.74986213	0.7335325	0.7072215	0.704569	0.8057658	0.81727	0.70000327	0.7218865	0.8112566	0.7832289	0.86909384	0.83938897	0.7705294
