c1	KS.9.1.lemma200.000	KS.9.1.lemma200.001	KS.9.1.lemma200.002	KS.9.1.lemma200.003
MS.1.7.lemma200.000	0.99838704	0.9546187	0.9688327	0.9697034
MS.1.7.lemma200.001	0.924061	0.9938657	0.9590785	0.96346694
MS.1.7.lemma200.002	0.9704874	0.9861801	0.97791255	0.98296565
MS.1.7.lemma200.003	0.9716136	0.9561246	0.9822132	0.97650635
