c1	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.9.lemma20.010	0.9659896	0.95068794	0.91780734	0.8945409	0.9144361	0.90753376	0.9205987	0.7214756	0.973658	0.90438825	0.9887972	0.85930943	0.9649806	0.9312373	0.9200189	0.9277531	0.9215771	0.88865	0.9174042	0.94831514	0.92917114	0.95465636	0.93441504	0.94364095	0.93621266	0.8725512	0.73617643	0.95367646	0.8859975	0.93314886	0.8833553	0.9621626	0.93838054	0.9499851	0.93803775	0.97107726	0.90618795	0.91275275	0.93289566	0.9528095	0.92592514	0.9505548	0.86470854	0.89723545	0.92063177	0.9645157	0.9479908	0.9362719	0.9243031	0.96981907	0.94216543	0.92572826	0.920383	0.96041954	0.82071924	0.9232399	0.92337334	0.94017243	0.9553055	0.7741782	0.9369936	0.9451134	0.8405131	0.95263624	0.74020827	0.95469356	0.90992683	0.9261795	0.93841577	0.90089345	0.956198	0.96302307	0.9521974	0.90586424	0.9616487	0.9025235	0.9488374	0.93218815	0.9275271	0.87475973	0.9227884	0.9610099	0.6697185	0.955834	0.9643398	0.84458345	0.96215206	0.95992863	0.924783	0.9290019	0.943145
MS.1.9.lemma20.011	0.9418178	0.94521135	0.9025164	0.8960045	0.9070381	0.89569914	0.93516475	0.738171	0.9414586	0.9300375	0.94457257	0.90396965	0.9422766	0.9415315	0.9325118	0.9256119	0.9338162	0.90538234	0.9390139	0.94558716	0.94294316	0.94224656	0.94065195	0.9384217	0.94333017	0.88534397	0.79137367	0.9509746	0.90490836	0.94290066	0.8810808	0.9248866	0.95330167	0.93909657	0.8851177	0.9339495	0.9144942	0.9307654	0.92966175	0.94752204	0.941707	0.94397146	0.88073874	0.894894	0.9147917	0.9386268	0.945555	0.9229794	0.9283879	0.94397014	0.93556345	0.8957019	0.90923864	0.9367607	0.80555123	0.9171855	0.91786766	0.92697304	0.94491357	0.79738057	0.9486605	0.93838966	0.8573835	0.9477413	0.75452447	0.94108284	0.92199063	0.91379225	0.93970406	0.89575917	0.9441922	0.94349545	0.9378596	0.91190284	0.9573503	0.8884805	0.9407201	0.91008234	0.9179866	0.9099502	0.91606987	0.93630135	0.6979742	0.9323283	0.9328613	0.8764127	0.93940675	0.95181394	0.9430811	0.9103882	0.9309295
MS.1.9.lemma20.012	0.83375335	0.86734354	0.8843914	0.86854184	0.89230454	0.85893697	0.8643903	0.8161249	0.8274287	0.8623062	0.82499814	0.871937	0.8605518	0.8776391	0.8691127	0.8715095	0.87500244	0.8615765	0.87497354	0.86169934	0.86867887	0.82393706	0.8596406	0.8492111	0.86027455	0.83193856	0.7981792	0.84998715	0.84446454	0.8809881	0.85340035	0.79672635	0.8666745	0.8602607	0.83316433	0.82200515	0.88406384	0.8570422	0.8479061	0.8503152	0.8693938	0.84176505	0.87310255	0.8395059	0.8144778	0.83458936	0.9093777	0.86273754	0.8952688	0.85807157	0.8495126	0.8753628	0.862743	0.8537406	0.84709555	0.87516594	0.8612337	0.8557592	0.8238573	0.8114535	0.8772658	0.87090087	0.82658374	0.84860545	0.77534544	0.8222786	0.8946967	0.80777687	0.85214067	0.8668766	0.866058	0.86046064	0.8622909	0.8932054	0.84099126	0.8726113	0.8507589	0.86455363	0.8759068	0.8508219	0.8720628	0.8381027	0.77482295	0.84716845	0.81541634	0.8852127	0.8319555	0.84315956	0.8522343	0.8511467	0.83442986
MS.1.9.lemma20.013	0.9610591	0.94724584	0.9264194	0.9019114	0.9115805	0.9137195	0.9183566	0.7087861	0.9602852	0.9121786	0.969015	0.8677653	0.96349514	0.9392044	0.92953587	0.9306185	0.93112886	0.88834554	0.92423457	0.9474268	0.93573874	0.95431876	0.9423109	0.9452032	0.94446266	0.87741244	0.7584086	0.9516301	0.9078432	0.9404129	0.8690704	0.95241433	0.9425094	0.94478583	0.93149805	0.96345055	0.9188233	0.91393894	0.9422276	0.9549522	0.9272629	0.95293117	0.8814459	0.8956371	0.9134065	0.9616413	0.94897866	0.9349091	0.92871916	0.96574646	0.93638337	0.9174825	0.9165377	0.95963883	0.81239223	0.9258605	0.9277847	0.93496233	0.9479629	0.7731887	0.9351345	0.9376371	0.8450444	0.95063186	0.7512318	0.9515677	0.9245176	0.92392325	0.9422059	0.91223	0.9582342	0.96795213	0.95383775	0.9049448	0.964484	0.9058759	0.9514537	0.93702406	0.92428625	0.8841702	0.9241971	0.9577484	0.67315936	0.94946086	0.9474607	0.86493254	0.95198834	0.9592568	0.92795867	0.92648935	0.9433663
MS.1.9.lemma20.014	0.93102026	0.93013704	0.89694893	0.8589764	0.8820358	0.8553865	0.89892924	0.7559342	0.92209125	0.8823949	0.91917014	0.85011065	0.9293809	0.9520209	0.9552158	0.91832304	0.9360458	0.89595664	0.94145375	0.9319067	0.94619834	0.94367516	0.9521029	0.93219113	0.9473975	0.85558397	0.7487799	0.92340183	0.8595109	0.9021251	0.8407078	0.914016	0.9219055	0.94537896	0.876575	0.90878105	0.8830944	0.9098847	0.9114865	0.93203074	0.92558044	0.92938244	0.8714427	0.8654988	0.8892695	0.9292224	0.92084545	0.9242477	0.913743	0.93034077	0.9240568	0.88329697	0.9050411	0.90335345	0.7828485	0.8919965	0.8814051	0.90462244	0.906636	0.7621697	0.93278766	0.9302788	0.81884444	0.92352355	0.7092978	0.93004066	0.91521835	0.8984504	0.91361105	0.88510036	0.9270395	0.92921424	0.92178535	0.87686914	0.9123979	0.87844217	0.8985622	0.89725757	0.8829097	0.8491543	0.88583446	0.9286434	0.6604767	0.9175287	0.9169062	0.84065485	0.9232717	0.926407	0.9049622	0.89352643	0.922009
MS.1.9.lemma20.015	0.9263217	0.9246067	0.8949356	0.87598336	0.902944	0.8765293	0.91566914	0.75185025	0.9271841	0.8984388	0.93009233	0.86784303	0.9258245	0.9602546	0.9530344	0.9410212	0.9475109	0.9199321	0.9461477	0.9384768	0.94548845	0.93136543	0.9390749	0.9479442	0.95422375	0.869041	0.7643993	0.9388232	0.870301	0.9286206	0.8716787	0.91894275	0.92713606	0.9386851	0.8767688	0.92543715	0.91390085	0.90996134	0.90162253	0.93547547	0.92837644	0.917262	0.87389094	0.9019865	0.92103213	0.9264144	0.92849714	0.9159774	0.9259051	0.9308493	0.9233854	0.8835842	0.90794563	0.9196727	0.79440093	0.906698	0.90320957	0.9193772	0.9210378	0.79110515	0.9351666	0.93227506	0.8480046	0.9253858	0.752401	0.9282896	0.9213306	0.897167	0.9267989	0.87990326	0.9309273	0.93129396	0.92753	0.8982292	0.9328382	0.8885075	0.9097465	0.8981391	0.89081436	0.8783106	0.89401287	0.9267182	0.6821101	0.93094385	0.92537975	0.86751306	0.9243594	0.93067414	0.9194922	0.8950992	0.9078444
MS.1.9.lemma20.016	0.94743234	0.93934834	0.9001514	0.8900215	0.8960866	0.8955445	0.9207207	0.69980943	0.95613366	0.920545	0.95860225	0.8792925	0.947327	0.9373528	0.92307377	0.9241544	0.9244286	0.8995981	0.9251182	0.9465595	0.93069804	0.94065994	0.92858356	0.9467234	0.9425161	0.8875311	0.77161884	0.9356651	0.8880513	0.9402057	0.88510484	0.9449497	0.9441299	0.93505204	0.90848774	0.9510203	0.89584655	0.90936005	0.93162465	0.9440493	0.92157924	0.9375228	0.8810324	0.9039233	0.917933	0.94400114	0.93901	0.9196931	0.9235544	0.95233345	0.9349084	0.90585124	0.92141634	0.9402367	0.806239	0.9237027	0.93064845	0.9362504	0.9446024	0.78297347	0.9286325	0.94502115	0.84942186	0.9508116	0.7714399	0.9449862	0.9082556	0.9297011	0.93070436	0.8754157	0.9394184	0.95096153	0.941134	0.8995978	0.9525522	0.8955284	0.9434799	0.9231927	0.91779834	0.89707273	0.91600263	0.93855405	0.6875361	0.94208467	0.935905	0.8583915	0.9404783	0.9515625	0.93442774	0.9128775	0.9330665
MS.1.9.lemma20.017	0.91790915	0.94176066	0.911324	0.86782885	0.89541095	0.8698619	0.8961855	0.7750623	0.9231905	0.8892712	0.91325665	0.864092	0.92710376	0.92880905	0.9326746	0.95032376	0.9552922	0.8990462	0.9336554	0.9251915	0.9371042	0.9339992	0.94485533	0.9207363	0.9359834	0.85945404	0.76771617	0.9217369	0.8726976	0.9093768	0.86138713	0.9042442	0.9212032	0.932485	0.88044184	0.90705895	0.8843881	0.91117984	0.9168776	0.9294157	0.911407	0.9191919	0.88878673	0.8609692	0.8760387	0.916727	0.9228052	0.91506875	0.91355896	0.9276967	0.91052365	0.89386284	0.8957665	0.90635294	0.8198808	0.9034207	0.8861797	0.89770234	0.90389997	0.78512335	0.9336967	0.9316102	0.84249866	0.9139943	0.7531454	0.9283466	0.9172049	0.88365555	0.9081407	0.89797217	0.92660445	0.9283116	0.91921145	0.8934841	0.9087549	0.90075207	0.8939727	0.9004178	0.8887464	0.8472942	0.89611095	0.9228807	0.69410396	0.91024095	0.91171265	0.8463831	0.91378284	0.9196669	0.90151644	0.8944611	0.91696995
MS.1.9.lemma20.018	0.93054944	0.93782663	0.9051492	0.8855709	0.9110801	0.87178856	0.91631055	0.7579784	0.9249077	0.90669644	0.92934275	0.8744471	0.9319707	0.951193	0.95214987	0.9490284	0.96000904	0.92338264	0.9573398	0.9416584	0.9537558	0.93740964	0.95069337	0.9433562	0.9565568	0.86494696	0.7655022	0.9373417	0.8779643	0.92588496	0.87168854	0.91748774	0.9364006	0.9444339	0.8894923	0.9254833	0.92223996	0.91368204	0.90742666	0.940378	0.93556225	0.9190329	0.8852061	0.9047997	0.91424316	0.9321855	0.9394878	0.9207239	0.9271556	0.93448997	0.9296966	0.89134496	0.9070814	0.9265468	0.8053352	0.9115979	0.91424847	0.9256959	0.9245176	0.8092818	0.945688	0.9301193	0.85021436	0.92613935	0.7540109	0.9314659	0.92689884	0.8911713	0.92694	0.8858076	0.9371722	0.9357741	0.9344534	0.9024838	0.93060344	0.8952471	0.91427886	0.90743136	0.8985217	0.87431204	0.9048477	0.92728233	0.68215	0.93309677	0.92680323	0.8612817	0.9252719	0.93760216	0.9102909	0.9065983	0.91421145
MS.1.9.lemma20.019	0.9548547	0.94324845	0.9023436	0.8891121	0.89326644	0.893551	0.91981816	0.69077814	0.95848054	0.92093176	0.96124446	0.8749538	0.9545554	0.9401779	0.92882514	0.9277944	0.92815197	0.8965501	0.928718	0.9486563	0.9362326	0.9481132	0.9351969	0.9493768	0.9461961	0.884954	0.7634117	0.9389961	0.88819	0.93973273	0.8769921	0.9474975	0.9471886	0.939224	0.90852696	0.9525101	0.89690727	0.9134842	0.9397865	0.9489387	0.92515403	0.943924	0.88238627	0.89594805	0.9193102	0.9478008	0.93895054	0.92236763	0.9219979	0.9534732	0.9356345	0.90257394	0.91771543	0.9392207	0.79749376	0.91947603	0.92648256	0.93610764	0.9441145	0.77500045	0.93149763	0.94363713	0.8376521	0.95157856	0.75589323	0.9478685	0.910076	0.9337726	0.93461895	0.87868696	0.94378984	0.955665	0.946919	0.9013851	0.9570087	0.9017639	0.9449221	0.9243398	0.9168002	0.8949012	0.9145951	0.9421393	0.67444533	0.94354624	0.93930215	0.85126877	0.9410372	0.95376414	0.9337001	0.913344	0.9369189
