c1	KS.9.1.lemma100.000	KS.9.1.lemma100.001	KS.9.1.lemma100.002	KS.9.1.lemma100.003	KS.9.1.lemma100.004	KS.9.1.lemma100.005	KS.9.1.lemma100.006	KS.9.1.lemma100.007
MS.1.7.lemma100.000	0.99720305	0.9541696	0.9221817	0.9620464	0.9491997	0.9366502	0.92956156	0.94084334
MS.1.7.lemma100.001	0.95848835	0.99751943	0.89380413	0.9489932	0.9355841	0.9428526	0.90562546	0.96532756
MS.1.7.lemma100.002	0.9134727	0.88812995	0.9970879	0.93961847	0.93608737	0.9122124	0.9739843	0.8938267
MS.1.7.lemma100.003	0.9286663	0.8991822	0.93373096	0.9752939	0.96184576	0.90638494	0.93859786	0.8928079
MS.1.7.lemma100.004	0.9677262	0.9566029	0.92112523	0.9910634	0.96708626	0.9290172	0.92929024	0.94670784
MS.1.7.lemma100.005	0.9410749	0.92708147	0.96303606	0.95383227	0.96697795	0.91686946	0.98882437	0.9240453
MS.1.7.lemma100.006	0.93053454	0.93264383	0.92972946	0.9237174	0.9406609	0.98177135	0.90997726	0.9206378
MS.1.7.lemma100.007	0.9377258	0.9648611	0.8991892	0.93591535	0.93665946	0.92503434	0.90342104	0.99672645
