c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.1.lemma20.032	0.88121146	0.8817806	0.82194304	0.89549756	0.9033187	0.91036415	0.8413299	0.8471724	0.8895215	0.9082438	0.86164385	0.8960806	0.91391766	0.87543404	0.8704172	0.8815527	0.9085568	0.8398125	0.8809624	0.90676916	0.89447963	0.8751715	0.8735918	0.91900706	0.882917	0.85566306	0.8907478	0.8429097	0.83468926	0.9091314	0.8956629	0.86354506	0.905522	0.9054002	0.89252466	0.9033271	0.8982894
MS.1.1.lemma20.033	0.9360379	0.902151	0.83193177	0.9403643	0.93248534	0.96152484	0.8713148	0.88252693	0.9220703	0.929452	0.8958869	0.94957423	0.94635767	0.91424114	0.9252373	0.92984813	0.95187986	0.8716492	0.92517936	0.95300144	0.94731617	0.93112475	0.91992986	0.9585883	0.9316074	0.9180882	0.94136786	0.8734581	0.90444297	0.9478618	0.9442822	0.91095096	0.9555421	0.93872195	0.9092989	0.9414274	0.92354554
MS.1.1.lemma20.034	0.94408095	0.8999391	0.83596116	0.9432355	0.9405722	0.9668205	0.8742856	0.8793955	0.92982495	0.9345457	0.89583707	0.9546619	0.9443017	0.91403234	0.93077993	0.9250894	0.9519301	0.8714836	0.92931706	0.95948213	0.9515571	0.93619555	0.92192596	0.9613731	0.93099016	0.913342	0.94510585	0.8733995	0.89432657	0.9522273	0.94205254	0.9120732	0.9604869	0.9404728	0.9162978	0.9416754	0.9222414
MS.1.1.lemma20.035	0.9428724	0.8899318	0.82218504	0.93256617	0.936094	0.94818604	0.8716632	0.86890006	0.9145761	0.9256727	0.8689996	0.9453182	0.9161659	0.8955502	0.9292529	0.8888844	0.93134004	0.87260926	0.9240089	0.95420897	0.93232757	0.93098336	0.90585524	0.93796366	0.9104097	0.9044752	0.92101413	0.88072264	0.8585496	0.9385898	0.9219617	0.90097284	0.95103097	0.9151696	0.9047409	0.93550986	0.90069485
MS.1.1.lemma20.036	0.9438375	0.90615916	0.84300476	0.94077295	0.9379318	0.94783974	0.869504	0.8807441	0.9182637	0.9290161	0.9099349	0.95941204	0.9505962	0.9177276	0.930144	0.92167497	0.9453408	0.87250686	0.92958355	0.94383955	0.9411557	0.9276026	0.9253501	0.9442167	0.93531835	0.92698115	0.937724	0.887227	0.89596224	0.9541091	0.94416153	0.9117571	0.95202285	0.93692696	0.8972139	0.9398424	0.9362278
MS.1.1.lemma20.037	0.9240916	0.8966046	0.83319986	0.9148881	0.91894877	0.929726	0.8702357	0.87382853	0.93453574	0.9068279	0.88563216	0.92859507	0.9191984	0.9051412	0.9260284	0.88795185	0.92907315	0.8900182	0.92701507	0.9471836	0.93122196	0.93401766	0.9105111	0.921608	0.9175865	0.89487714	0.9211228	0.880403	0.8713343	0.9202095	0.91339225	0.9198313	0.9305856	0.90583634	0.89046896	0.9074903	0.8937964
MS.1.1.lemma20.038	0.84693176	0.8282803	0.7498057	0.87141955	0.85537565	0.8685659	0.7968107	0.82569355	0.84308434	0.84219825	0.818148	0.86396515	0.86711925	0.8442944	0.8420177	0.86282325	0.86892396	0.7770488	0.85930616	0.868781	0.8619464	0.85425055	0.8400898	0.8821208	0.85844624	0.8498261	0.8483473	0.8426336	0.8188915	0.8563353	0.86846304	0.84059	0.8559265	0.858394	0.8266249	0.8677158	0.8540874
MS.1.1.lemma20.039	0.9403196	0.8879447	0.78291464	0.9570015	0.94128156	0.95546454	0.83433926	0.8765529	0.90403163	0.9253377	0.8824029	0.9420964	0.93749076	0.89864993	0.91991806	0.9290725	0.9517296	0.84051156	0.93368995	0.9520158	0.95897764	0.9354633	0.9380844	0.9580235	0.92179894	0.90790784	0.9264054	0.85556483	0.8800827	0.9586195	0.9529438	0.9305067	0.95169914	0.9446073	0.9055451	0.94287395	0.9245269
MS.1.1.lemma20.040	0.9429103	0.90940166	0.7917547	0.93867683	0.9295613	0.94505775	0.8358167	0.85553336	0.91612273	0.9009544	0.87943274	0.932456	0.93376136	0.90059936	0.91751975	0.8970045	0.9416548	0.86606014	0.9338649	0.9426712	0.9467298	0.9445962	0.94063497	0.94122493	0.92073697	0.91083896	0.9250752	0.8639134	0.8788232	0.94455725	0.9418628	0.92843294	0.95269626	0.9286494	0.9284408	0.9447868	0.92368186
MS.1.1.lemma20.041	0.9379734	0.9053737	0.82507896	0.93881005	0.9291785	0.96168923	0.9072468	0.91856074	0.93966556	0.93063354	0.90799063	0.94820344	0.9281435	0.90825784	0.9388934	0.92325157	0.94240224	0.8911621	0.9234047	0.9548874	0.9469898	0.93898845	0.92668176	0.94154495	0.91800404	0.9251043	0.9391812	0.8750214	0.9252539	0.9419982	0.9415113	0.9349975	0.95241016	0.93633986	0.8997925	0.9471019	0.9154601
