c1	KS.9.11.lemma200.000	KS.9.11.lemma200.001	KS.9.11.lemma200.002	KS.9.11.lemma200.003	KS.9.11.lemma200.004	KS.9.11.lemma200.005	KS.9.11.lemma200.006	KS.9.11.lemma200.007
MS.1.9.lemma200.000	0.99337304	0.96532184	0.9888518	0.99078906	0.9888642	0.98644066	0.9644588	0.9871236
MS.1.9.lemma200.001	0.9895147	0.98149025	0.9839957	0.98645824	0.985986	0.9841231	0.9777489	0.98567736
MS.1.9.lemma200.002	0.9856518	0.9864478	0.98327154	0.9883934	0.9848938	0.98034245	0.97648156	0.982736
MS.1.9.lemma200.003	0.99031734	0.9691919	0.99182725	0.99497175	0.9891626	0.9908118	0.9683259	0.9916967
MS.1.9.lemma200.004	0.98494345	0.9686979	0.9775978	0.9865478	0.9888505	0.98500484	0.97749853	0.981864
MS.1.9.lemma200.005	0.98834014	0.973245	0.97985935	0.9908991	0.9914128	0.9874182	0.97600794	0.9869982
MS.1.9.lemma200.006	0.98263323	0.96326077	0.98631185	0.9855976	0.983855	0.9924275	0.96097654	0.9884204
MS.1.9.lemma200.007	0.9908808	0.9672786	0.9897392	0.99183714	0.98889995	0.99247193	0.9667379	0.9902463
