	MS.1.1.-MS.1.6.	MS.1.6.-MS.1.7.	MS.1.6.-KS.8.	MS.1.7.-KS.9.1.	MS.1.9.-KS.9.11.
MS.1.1.-MS.1.6.		-53.946303085055185	-83.89510950195965	-29.860184111363278	-40.34881851670955
MS.1.6.-MS.1.7.			-10.276347483065736	-2.8007926477026692	15.070867000657604
MS.1.6.-KS.8.				2.0144239364913346	29.975995281300605
MS.1.7.-KS.9.1.					10.637866601324172
MS.1.9.-KS.9.11.					
