c1	MS.1.7.lemma100.000	MS.1.7.lemma100.001	MS.1.7.lemma100.002	MS.1.7.lemma100.003	MS.1.7.lemma100.004	MS.1.7.lemma100.005	MS.1.7.lemma100.006	MS.1.7.lemma100.007
MS.1.6.lemma100.000	0.94826436	0.9464059	0.8856651	0.8790589	0.92965865	0.9002444	0.9178713	0.93759173
MS.1.6.lemma100.001	0.9573894	0.9684841	0.896648	0.90322584	0.95890963	0.91534096	0.91191536	0.9360697
MS.1.6.lemma100.002	0.95057666	0.9552939	0.9149363	0.8972901	0.9397607	0.9263995	0.93591017	0.934264
MS.1.6.lemma100.003	0.9553433	0.95723516	0.9029041	0.9104876	0.9565956	0.92289764	0.8984454	0.92941517
MS.1.6.lemma100.004	0.95501226	0.9608848	0.9101129	0.9142055	0.952768	0.92880106	0.9165527	0.93486047
MS.1.6.lemma100.005	0.96442425	0.95948255	0.90965503	0.9171805	0.95667034	0.9316356	0.93278	0.93698233
MS.1.6.lemma100.006	0.9529595	0.9549784	0.91910934	0.93284506	0.96087205	0.9369227	0.9323306	0.9385261
MS.1.6.lemma100.007	0.95903707	0.9647632	0.9083707	0.9264104	0.96657646	0.93980235	0.92951113	0.9436372
MS.1.6.lemma100.008	0.9357401	0.9160566	0.893099	0.8848929	0.90946555	0.9137636	0.9159437	0.8960238
MS.1.6.lemma100.009	0.9753646	0.9505246	0.93282413	0.93126947	0.95306355	0.94541717	0.96261513	0.9327364
MS.1.6.lemma100.010	0.9544935	0.9170051	0.9236887	0.9159451	0.9331049	0.9367531	0.9156886	0.90964913
MS.1.6.lemma100.011	0.939774	0.92732686	0.91529524	0.8965555	0.9197802	0.9120777	0.92933136	0.92080283
MS.1.6.lemma100.012	0.9274662	0.9481718	0.89048517	0.9142717	0.9489028	0.9156845	0.9028106	0.9553998
MS.1.6.lemma100.013	0.94101495	0.95833117	0.91113305	0.92717445	0.9543055	0.9315704	0.92355776	0.9484238
MS.1.6.lemma100.014	0.9510829	0.95386547	0.8874671	0.8919396	0.95398796	0.91256326	0.89789134	0.9244789
MS.1.6.lemma100.015	0.9668469	0.9624823	0.9290835	0.9244524	0.9551535	0.95088255	0.9470646	0.9538401
MS.1.6.lemma100.016	0.9522752	0.9586801	0.89781946	0.9123257	0.95731026	0.9255223	0.9162804	0.9431089
MS.1.6.lemma100.017	0.9238133	0.94010526	0.88420314	0.90606743	0.9369835	0.91325766	0.91126436	0.92719394
MS.1.6.lemma100.018	0.971327	0.966911	0.92529726	0.92620695	0.9747042	0.94265616	0.93744814	0.96032745
MS.1.6.lemma100.019	0.9502674	0.9637653	0.8884516	0.9003371	0.95646995	0.9188629	0.9138856	0.94297665
MS.1.6.lemma100.020	0.9608096	0.9667026	0.92863816	0.92321754	0.94882566	0.9511842	0.9444394	0.94872355
MS.1.6.lemma100.021	0.946995	0.93579364	0.9064275	0.90607125	0.9436049	0.9341095	0.910428	0.9144399
MS.1.6.lemma100.022	0.9541353	0.9322201	0.921529	0.9469786	0.9499662	0.9457944	0.92599285	0.9286189
MS.1.6.lemma100.023	0.9407216	0.9232955	0.92640054	0.92019534	0.93458897	0.961322	0.92233706	0.92198825
MS.1.6.lemma100.024	0.9641334	0.94885284	0.9360591	0.9252384	0.9477579	0.9569977	0.95160407	0.943289
MS.1.6.lemma100.025	0.94230723	0.952192	0.9500261	0.9356595	0.95493656	0.95488405	0.9312837	0.9380572
MS.1.6.lemma100.026	0.94251335	0.9637977	0.9149044	0.9057368	0.9436475	0.94175535	0.92245346	0.9450951
MS.1.6.lemma100.027	0.94763815	0.95528334	0.89833707	0.90307295	0.9385706	0.91691947	0.91827965	0.945975
MS.1.6.lemma100.028	0.9407529	0.94500774	0.9177155	0.91546607	0.9497893	0.94318414	0.90956587	0.9399516
MS.1.6.lemma100.029	0.93506676	0.95301664	0.90280914	0.90647423	0.946176	0.9117136	0.9151423	0.93508625
MS.1.6.lemma100.030	0.9511984	0.9392321	0.92626315	0.92544127	0.9529583	0.9318152	0.9190406	0.9523106
MS.1.6.lemma100.031	0.94698465	0.9491919	0.91740566	0.93477863	0.9580721	0.9368078	0.9225249	0.9499294
MS.1.6.lemma100.032	0.96156675	0.9537294	0.9201175	0.9142848	0.9490168	0.9377762	0.9311012	0.93647605
MS.1.6.lemma100.033	0.95526665	0.949987	0.9366102	0.9284006	0.9640547	0.9387399	0.92650926	0.9393832
MS.1.6.lemma100.034	0.96269673	0.952425	0.93385315	0.9298186	0.9567929	0.9440937	0.9569943	0.94377166
MS.1.6.lemma100.035	0.9535882	0.9352012	0.91318226	0.88992685	0.9382619	0.9242014	0.93655646	0.9425883
MS.1.6.lemma100.036	0.9323081	0.942252	0.89513546	0.88539296	0.9308205	0.910429	0.9231039	0.97593296
MS.1.6.lemma100.037	0.9277414	0.935756	0.9357805	0.8899324	0.9235979	0.9298945	0.9281283	0.9288355
MS.1.6.lemma100.038	0.94700223	0.9561871	0.885857	0.8864361	0.93145055	0.9075375	0.93314177	0.96060836
MS.1.6.lemma100.039	0.965885	0.9573921	0.92094034	0.9180654	0.95031583	0.9380998	0.9368332	0.9441882
MS.1.6.lemma100.040	0.9452908	0.95625937	0.9032965	0.9137824	0.94884497	0.91668123	0.93017733	0.96289086
MS.1.6.lemma100.041	0.94391793	0.9592171	0.89112014	0.89905745	0.94075716	0.9040963	0.9298429	0.9643808
MS.1.6.lemma100.042	0.9461597	0.9728281	0.88541794	0.8980442	0.9458751	0.9057635	0.9145487	0.955388
